chrom	start	end	aCD14-PBMC-1313.bedgraph_rolled	aCD14-PBMC-1382.bedgraph_rolled	aCD14-PBMC-1389.bedgraph_rolled	bCD19-PBMC-1313.bedgraph_rolled	bCD19-PBMC-1382.bedgraph_rolled	bCD19-PBMC-1389.bedgraph_rolled	cCD4-PBMC-1313.bedgraph_rolled	cCD4-PBMC-1382.bedgraph_rolled	cCD4-PBMC-1389.bedgraph_rolled	dCD8-PBMC-1313.bedgraph_rolled	dCD8-PBMC-1382.bedgraph_rolled	dCD8-PBMC-1389.bedgraph_rolled	eCD56-PBMC-1313.bedgraph_rolled	eCD56-PBMC-1382.bedgraph_rolled	eCD56-PBMC-1389.bedgraph_rolled
chr1	923598	923600	0.271	0	0	0.667	0.5	0	0.8	0.286	0	0.455	0	0	0.372	0.125	0.143
chr1	923608	923610	0.275	0	0	0.574	0	0	0.333	0	0	0.496	0	0.163	0.153	0.125	0
chr1	923624	923626	0.248	0	0.111	0.717	0	0	0.333	0	0.33	0.353	0	0.2	0.214	0.125	0.198
chr1	923629	923631	0.271	0	0.111	0.499	0.113	0	0.333	0.25	0.4	0.501	0	0.333	0.213	0.125	0
chr1	923645	923647	0.308	0.25	0.365	0.57	0.125	0.2	0.333	0.2	0.25	0.333	0.398	0.154	0.154	0.427	0
chr1	923648	923650	0.228	0	0.457	0.621	0	0	0.5	0	0.2	0.471	0	0	0.231	0.2	0
chr1	923651	923653	0.141	0.2	0.182	0.499	0.376	0	0.25	0	0	0.315	0.5	0.083	0.228	0.165	0
chr1	923655	923657	0.152	0	0.2	0.621	0	0.198	0	0	0	0.526	0	0	0.151	0.33	0
chr1	923666	923668	0.199	0.247	0.333	0.667	0.143	0.375	NA	0	0	0.416	0.75	0.083	0.387	0	0.2
chr1	923669	923671	0.19	0.4	0.287	0.667	0	0.143	NA	0	0	0.523	0	0.083	0.235	0.165	0
chr1	923694	923696	0.18	0	0.286	0.667	0	0.125	NA	0.5	0	0.453	0	0.113	0.308	0	0.2
chr1	923705	923707	0.308	0	0.223	0.2	0.165	0.43	NA	0.25	0.25	0.576	0.333	0.223	0	0.198	0
chr1	923710	923712	0.182	0.5	0.11	0.503	0.198	0	NA	0.25	0	0.474	0	0	0.2	0	0.2
chr1	923712	923714	0	0.33	0.272	0.4	0	0.203	NA	0.374	0	0.531	0.667	0	0	0	0.6
chr1	923737	923739	0.078	0.247	0.1	0.286	0	0.073	0	0.25	0	0.733	0	0	0.093	0.125	0
chr1	923739	923741	0.215	0	0.09	0.286	0.33	0	0	0.374	0	0.533	0	0	0.091	0.125	0
chr1	923741	923743	0.078	0.247	0.27	0.143	0	0.069	0	0.25	0	0.6	0	0	0.091	0.143	0.2
chr1	923760	923762	0.25	0	0	0.143	0	0.091	0	0.22	0	0.533	0	0.25	0.167	0.335	0
chr1	923764	923766	0.198	0.574	0	0.128	0	0	0	0.301	0.247	0.499	0	0	0.091	0.165	0
chr1	923774	923776	0.111	0	0	0.247	0.165	0.083	0	0.2	0.333	0.472	0.503	0	0.077	0.33	0
chr1	923781	923783	0.3	0	0	0.128	0.143	0	0	0.182	0	0.531	0.5	0	0.154	0.165	0
chr1	923792	923794	0.111	0	0.167	0.223	0	0.071	0	0.228	0	0.477	0	0	0	0.165	0
chr1	923799	923801	0.111	0	0	0.111	0	0	0	0.229	0	0.407	0	0	0.077	0.335	0.167
chr1	923812	923814	0.125	0	0.6	0.271	0.25	0	NA	0.154	0	0.141	0	NA	0.074	0.25	0.497
chr1	923818	923820	0.165	0.143	0.17	0.085	0.125	0.083	NA	0.228	0	0.247	NA	NA	0.073	0.667	0
chr1	923821	923823	0	0	0	0.093	0	0.167	NA	0.229	0.5	0.251	NA	NA	0	0.5	0
chr1	923824	923826	0.165	0.283	0.17	0.1	0	0.185	NA	0.091	0.5	0.203	0	NA	0.065	0.25	0
chr1	923833	923835	0.141	0.5	0	0.085	0	0.302	NA	0	0	0.145	0.33	0.5	0.077	0.667	0
chr1	923838	923840	0.284	0.167	0.17	0.18	0.165	0	NA	0	0	0.133	0	0.67	0	0.667	0
chr1	923842	923844	0.141	0	0	0.1	0.2	0.2	NA	0	0	0.265	0	0	0.082	0.333	0
chr1	923847	923849	0.141	0.167	0	0.111	0.25	0	NA	0	0	0.265	0	0	0.154	0.333	0.25
chr1	923856	923858	0.167	0	0	0.271	0.25	0.111	NA	0.27	0	0.078	0	0	0	0.333	0.25
chr1	923858	923860	0	0.167	0	0.184	0	0	NA	0.177	0.5	0	0.33	0.33	0	0.333	0.333
chr1	923866	923868	0.43	0	0	0.091	0	0	NA	0	0	0	0	0	0	0.333	0
chr1	923868	923870	0.141	0	0	0	0	0	NA	0	0	0.064	0	0	0.141	0.333	0
chr1	923871	923873	0	0	0	0.1	0	0	NA	0.177	0	0.065	0	0.25	0	0.333	0.25
chr1	923875	923877	0	0	0	0.1	0	0.1	NA	0.09	NA	0	0	0	0.143	0.333	0.25
chr1	923878	923880	0	0.2	0	0.298	0	0	NA	0	NA	0.189	0	0	0.073	0.333	0.25
chr1	923880	923882	0.247	0	0	0.223	0	0	NA	0.099	NA	0	0	0	0.069	0.5	0
chr1	923883	923885	0	0	0	0.113	0	0	NA	0	NA	0.269	0	0	0	1	0
chr1	923889	923891	0	0	0.5	0	0.5	0	NA	0.226	NA	0	0	0.25	0	0.5	0.25
chr1	923912	923914	0.165	0.2	0.2	0.167	0	0	NA	0.124	NA	0.141	0	0.4	0.075	0.5	0
chr1	923915	923917	0	0	0	0	0	0	NA	0.099	NA	0.071	0	0.2	0.156	0.5	0
chr1	923918	923920	0.198	0	0.2	0.167	0	0	NA	0	NA	0	0	0	0.235	0	0
chr1	923921	923923	0	0	0.2	0	0.247	0	NA	0.201	NA	0.214	0	0.146	0.275	0	0
chr1	923924	923926	0	0	0.25	0.247	0	0.165	NA	0.098	NA	0.071	0	0.146	0.17	NA	0
chr1	923927	923929	0	0	0.25	0.25	0.667	0.165	NA	0	NA	0.087	0	0	0	NA	0
chr1	923945	923947	0	NA	0.5	0.33	0	0.25	NA	0.167	NA	0	0.25	0	0.249	NA	0
chr1	923948	923950	0.247	NA	0.4	0.33	0.25	0.25	NA	0	NA	0.099	0	0.146	0.1	NA	0
chr1	923952	923954	0.247	NA	0.5	0	0	0	NA	0	NA	0	0	0	0	NA	0
chr1	923956	923958	0.247	NA	0.5	0	0	0	NA	0	NA	0	0	0	0.3	NA	0
chr1	923958	923960	0	NA	0.5	0.33	0	0	NA	0	NA	0	0	0.283	0.2	NA	0
chr1	923960	923962	0	NA	0.5	0	0	0	NA	0	NA	0.11	0	0	0.1	NA	0
chr1	923970	923972	0	NA	0.5	0	0.247	0.198	NA	0.25	NA	0.1	NA	0.146	0	NA	0
chr1	923972	923974	0	NA	0.571	0	0	0	NA	0	NA	0.11	NA	0	0.222	NA	0.667
chr1	923980	923982	0.333	NA	0.497	0	0	0.2	NA	0.25	NA	0	NA	0	0.427	NA	0
chr1	923987	923989	0	NA	0.497	0	0.5	0	NA	0	NA	0.12	NA	0	0	NA	0.167
chr1	923989	923991	0	NA	0.571	0	0.5	0	NA	0	NA	0.1	NA	0	0	NA	0.167
chr1	923994	923996	0.333	NA	0.571	NA	0	0	NA	0	NA	0.22	NA	0	0.398	NA	0
chr1	923998	924000	0.25	NA	0.497	NA	0	0	NA	0	NA	0	NA	0	0	NA	0
chr1	924001	924003	0	NA	0.497	NA	0	0	NA	0	NA	0.22	NA	0.167	0	NA	0
chr1	924006	924008	0	NA	0.497	NA	0	0	NA	0	NA	0.099	0	0	0.333	NA	0
chr1	924023	924025	0.67	NA	0.625	NA	NA	0	0.5	NA	NA	0.12	NA	0	0	NA	NA
chr1	924032	924034	0.198	NA	0.33	NA	0.5	0	0.5	NA	NA	0.222	NA	0	0	NA	0.2
chr1	924041	924043	0	NA	0.5	NA	0	0.167	NA	NA	NA	0.297	NA	0	0	NA	0
chr1	924043	924045	0.165	NA	0.429	NA	0	0.333	NA	NA	NA	0	NA	0.25	0	NA	0
chr1	924051	924053	0.33	NA	0.283	NA	NA	0.333	NA	NA	NA	0.331	NA	0	0	NA	0
chr1	924057	924059	0.33	NA	0.247	NA	0	0.167	NA	NA	NA	0.446	NA	0	0.25	0	0
chr1	924063	924065	0.165	NA	0.429	NA	0	0	NA	0.5	NA	0.196	NA	NA	0	0.5	0
chr1	924071	924073	0.143	NA	0.333	NA	NA	0	NA	0	NA	0.271	NA	NA	0.25	0	0
chr1	924080	924082	0	NA	0.443	0	NA	0	NA	0	NA	0.181	NA	0	0.2	0.5	0
chr1	924083	924085	0.143	NA	0.247	0.5	NA	0.125	0	NA	NA	0.361	NA	0.5	0.2	0	0
chr1	924088	924090	0.143	NA	0.226	0.333	NA	0.125	0	0	NA	0.181	NA	0	0	0.5	0
chr1	924092	924094	0.286	NA	0.226	0.6	NA	0.125	0	0	NA	0.091	NA	0.5	0	0	0
chr1	924105	924107	0.284	NA	0	0.503	0	0.2	0	0	NA	0.22	NA	0	0	0	0.5
chr1	924109	924111	0	NA	0.125	0.667	0	0	0	0	NA	0.111	NA	0	0.29	0	0
chr1	924111	924113	0	NA	0	0.503	0	0	0	0	NA	0.22	NA	0	0.29	0	0
chr1	924115	924117	0.11	0.5	0	0.503	0	0.111	0	0	NA	0.22	NA	0.667	0	0	0
chr1	924125	924127	0.443	0	0	0.503	0.33	0.111	0.333	0.5	NA	0	NA	0	0.17	0	0.5
chr1	924130	924132	0	0	0	0.75	0	0	0.25	0	NA	0.125	NA	0.25	0.379	0	0
chr1	924132	924134	0.1	0	0.111	0.503	0.247	0.111	0	0	NA	0.372	NA	0	0.379	0	0
chr1	924144	924146	0	0	0	0.335	0	0	0	0	NA	0.2	0	0	0.196	0.5	0
chr1	924149	924151	0	0	0	0.335	0	0	0	0	NA	0.365	NA	0.198	0.5	0	0
chr1	924159	924161	0.18	0	0.111	0.67	0	0.222	0	0	0	0.302	NA	0	0.23	0.5	0
chr1	924175	924177	0.228	0	0.111	0.5	0	0	0	0	0	0.074	NA	0	0.23	0	0
chr1	924178	924180	0.077	0	0.1	0.335	0.2	0.202	0	0	0	0.151	NA	0	0.23	1	0
chr1	924182	924184	0	0	0.499	0.335	0	0	0	0	0	0.228	NA	0	0.357	0	0
chr1	924185	924187	0	0	0.111	0.335	0	0.113	0	0	0	0.152	NA	0.398	0.214	0	0
chr1	924190	924192	0.167	0	0.2	0.286	0	0	0.25	0	0	0.076	NA	0.2	0.286	0.25	0
chr1	924195	924197	0	0	0.111	0.286	0.2	0	0	0.4	0	0.152	NA	0	0.357	0	0
chr1	924201	924203	0	0	0.222	0.286	0	0.125	0	0.2	0.2	0.264	NA	0	0.214	0	0
chr1	924221	924223	0.18	0.5	0.167	0.333	0.125	0	0	0	0.2	0.082	NA	0.2	0.231	0	0
chr1	924236	924238	0.1	0	0.167	0.402	0.337	0	0	0.4	0	0.184	NA	0	0.213	0	0
chr1	924239	924241	0.3	0	0.667	0.402	0.143	0	0	0.2	0	0.093	NA	0.165	0.212	0	0.5
chr1	924243	924245	0.125	0	0.167	0.402	0.287	0.128	0	0	0	0.1	NA	0.165	0.305	0.25	0
chr1	924256	924258	0	NA	0.398	0.5	0.376	0	0	0	0	0.444	NA	0.398	0.25	0.25	0
chr1	924269	924271	0.198	NA	0.2	0.5	0.251	0	0.25	0	0.2	0.1	NA	0	0.198	0	0
chr1	924273	924275	0.362	NA	0.25	0.5	0.251	0.125	0	0	0	0.184	NA	0.2	0.222	0	0
chr1	924276	924278	0	NA	0.497	0.5	0.2	0.111	0	0	0	0.093	NA	0.2	0.333	0.33	0
chr1	924278	924280	0	NA	0.2	0.5	0.333	0.111	0	0.167	0.146	0.223	NA	0	0.333	0.5	0
chr1	924284	924286	0.089	NA	0.2	0.5	0.429	0.111	0	0	0.253	0.102	NA	0	0.222	0.67	NA
chr1	924287	924289	0.098	NA	0.2	0.25	0.286	0.111	0	0	0.125	0.202	NA	0	0.374	0.33	NA
chr1	924293	924295	0.276	NA	0.167	0	0.375	0	0	0.143	0	0.443	NA	0.167	0.287	0.33	NA
chr1	924297	924299	0.228	NA	0.167	0	0.251	0	0	0	0.374	0.197	NA	0.333	0.335	0.67	NA
chr1	924300	924302	0.076	NA	0.167	0	0.337	0.125	0	0.125	0.25	0.203	NA	0.402	0.5	0.33	NA
chr1	924305	924307	0.167	NA	0.5	0.141	0.223	0.141	0	0	0.124	0.203	NA	0	0.335	0.33	NA
chr1	924313	924315	0.09	NA	0.429	0.143	0.223	0.113	0	0.125	0	0.198	NA	0.165	0	0.33	NA
chr1	924317	924319	0.222	NA	0.25	0	0.251	0	0	0.25	0.143	0.091	NA	0.143	0	0.33	NA
chr1	924320	924322	0.29	NA	0.5	0	0.67	0.25	NA	0	0.5	0.167	NA	0	0	NA	NA
chr1	924326	924328	0.226	NA	0.251	0.111	0.223	0.1	0	0	0	0.125	NA	0	0	0.25	NA
chr1	924328	924330	0.22	NA	0.372	0	0.223	0	0	0.143	0.143	0.143	NA	0	0.333	0.5	NA
chr1	924330	924332	0.226	NA	0.125	0.333	0	0	0	0.286	0	0.165	NA	0.143	0	0.2	NA
chr1	924338	924340	0.109	NA	0.251	0.2	0.25	0.1	0	0.4	0.167	0	NA	0.143	0	0.4	NA
chr1	924346	924348	0.22	NA	0.287	0.1	0.251	0.2	0	0	0.167	0.143	NA	0.167	0.198	0.2	NA
chr1	924353	924355	0.283	NA	0.402	0.273	0.429	0	0	0.143	0.167	0.165	NA	0	0.143	0.2	NA
chr1	924355	924357	0.283	NA	0.402	0.182	0.287	0	0.5	0	0	0.5	NA	0.167	0.286	0.2	NA
chr1	924371	924373	0.2	0	0.402	0.1	0.398	0	NA	0	0	0.198	NA	0	0.335	0.2	NA
chr1	924376	924378	0.2	0	0.402	0.111	0.198	0.111	NA	0.125	0.167	0.402	NA	0.165	0.165	0.5	NA
chr1	924392	924394	0.2	0.333	0.5	0.111	0	0	NA	0.25	0.141	0.198	NA	0	0.375	0.25	NA
chr1	924395	924397	0.2	0.333	0.5	0.25	0.333	0.247	NA	0	0	0.25	NA	0.284	0.25	0.25	NA
chr1	924398	924400	0.6	0	0.8	0	0	0	NA	0.111	0.141	0.141	NA	0	0.143	0.17	NA
chr1	924405	924407	0.4	0	0.571	0	0.333	0.109	NA	0.222	0	0.141	0	0	0.25	0.33	NA
chr1	924413	924415	0.333	0	0.429	0	0	0.109	NA	0	0	0.25	0	0.2	0.247	0.17	NA
chr1	924422	924424	0.2	0	0.5	0.222	0	0.111	NA	0.141	0.247	0.25	0	0	0.253	0	NA
chr1	924427	924429	0	0	0.5	0.222	0	0	NA	0	0	0.375	0.5	0	0.247	0.17	NA
chr1	924435	924437	0.333	0	0.571	0	0	0	NA	0	0	0.25	0	0.2	0.109	0.33	0
chr1	924438	924440	0	0	0.429	0	0	0.226	NA	0	0	0.5	0	0	0.109	0.33	0
chr1	924456	924458	0.143	0.667	0.429	0	0	0.109	0.5	0	0	0.167	0	0	0.22	0.17	0
chr1	924461	924463	0.284	0.5	0.429	0	NA	0	NA	0.125	0	0.67	0	0	0.096	0.14	NA
chr1	924463	924465	0.143	0	0.711	0	0	0.128	NA	0.125	0.2	0.375	0	0.667	0.109	0	0
chr1	924489	924491	0.251	0	0.574	0.143	0.286	0	NA	0	0	0.333	0	0	0.196	0	0
chr1	924498	924500	0	0	0.2	0.167	0.333	0	0	0	0	0.333	0	0	0	0	0
chr1	924508	924510	0	0	0.2	0	0.333	0.109	0	0.5	0	0.333	0.333	0	0.109	0.17	NA
chr1	924510	924512	0.124	0	0.2	0.2	0.402	0	0	0	0.5	0.5	0	0	0	0.17	0
chr1	924516	924518	0.124	0.5	0.2	0.333	0.333	0	0	NA	NA	0.5	0	0	0.128	0.146	0
chr1	924522	924524	0	NA	0.2	0	0.402	0.123	0	0	NA	0.333	0	0	0.123	0.146	0
chr1	924525	924527	0	NA	0.17	0	0.286	0.125	0	0	NA	0	0	0	0.22	0.146	0
chr1	924543	924545	0	NA	0	0.333	0.286	0.247	0	0	NA	0	0	0	0.146	0.167	NA
chr1	924553	924555	0.2	NA	0.2	NA	0.4	0.17	0	NA	NA	0	0	0	0.167	0.143	NA
chr1	924555	924557	0	NA	0.4	NA	0.427	0	0	0	NA	0.667	0	0	0.167	0	NA
chr1	924558	924560	0.2	NA	0	0.5	0.429	0	0	0	NA	0	0.333	0	0	0.167	NA
chr1	924562	924564	0	NA	0.2	0	0.402	0	0	0	NA	0.143	0	0	0	0.283	NA
chr1	924573	924575	0.4	NA	0.2	0	0.5	0	0	0	NA	0	NA	0	0	0	NA
chr1	924577	924579	0	NA	0	0	0.335	0.33	0	0	NA	0.167	NA	0.198	0.25	0	NA
chr1	924582	924584	0	NA	0	0	0.402	0	0	0.333	NA	0	NA	0	0	0	NA
chr1	924589	924591	0	NA	0	0	0	0.333	0	0.333	NA	0.598	NA	0	0	0	NA
chr1	924594	924596	0.67	NA	0.167	0	0.402	0.25	0.333	0.333	NA	0.497	NA	0	0	0	NA
chr1	924598	924600	0.2	NA	0.2	0	0.402	0.25	0.333	0	NA	0.333	NA	0	0	0	0.5
chr1	924601	924603	0	NA	0.398	0	0.402	0.667	0.333	0	NA	0.4	NA	0	0	0.5	0.667
chr1	924607	924609	0	NA	0.333	0	0.402	0.333	0.333	0	NA	0.5	NA	0	0	NA	0.5
chr1	924624	924626	0.111	NA	0.2	0.5	0	1	0.5	0.5	0	0.667	NA	0.333	0	NA	0.667
chr1	924627	924629	0	NA	0.25	0.67	0	0.5	0.5	0.5	0.5	0.667	NA	0	0	NA	0.333
chr1	924632	924634	0	NA	0.2	0.67	0.25	0.5	NA	0.5	0	0.833	NA	0	0	NA	0.5
chr1	924639	924641	0.2	NA	0.2	0.5	0	0.5	NA	NA	0	0.714	NA	0	0.5	NA	0.25
chr1	924641	924643	0	NA	0.2	0.5	0.2	0.5	NA	NA	0	0.714	NA	0	0	NA	0.333
chr1	924643	924645	0	NA	0.2	0.5	0	0.5	NA	NA	0	0.857	NA	0	0	NA	0.333
chr1	924661	924663	0	NA	0.167	0.5	0.198	0.5	0.5	0	0	0.596	NA	0.254	0	NA	0.25
chr1	924667	924669	0.111	NA	0.335	NA	0	0.5	0.5	0	0	0.596	NA	0.254	0	0	0.5
chr1	924672	924674	0.111	NA	0.4	NA	0	0.5	0.5	0	0	0.7	NA	0.25	0	0	0.25
chr1	924696	924698	0.085	NA	0.335	0.247	0.2	0.5	0.333	0	0.25	0.817	0	0.3	0.5	0	0.25
chr1	924706	924708	0.078	NA	0.335	0.2	0	0.333	0.25	0	0.25	0.667	0	0.2	0	0	0.2
chr1	924710	924712	0.2	NA	0.4	0.333	0	0.333	0.25	0	0	0.6	0	0.372	0	0	0.4
chr1	924717	924719	0.071	NA	0.402	0.333	0	0.333	0.25	0	0	0.8	0	0.501	0	0.198	0.167
chr1	924724	924726	0.357	NA	0.6	0.283	0.503	0.333	0.25	0	0	0.734	0	0.25	0	0.333	0.167
chr1	924726	924728	0.143	NA	0.5	0.283	0	0.753	0.25	0	0	0.711	0.333	0.33	0	0	0
chr1	924730	924732	0.133	NA	0.4	0.283	0.198	0.25	0.25	0.333	0	0.667	0	0.22	0	0	0.4
chr1	924732	924734	0.122	NA	0.335	0.501	0.333	0	0.25	0	0.333	0.797	0.333	0.33	0	0.25	0.4
chr1	924738	924740	0.23	NA	0.5	0.444	0.167	0	0.25	0.247	0	0.643	0	0.33	0	0	0.4
chr1	924750	924752	0.153	NA	0.335	0.222	0	0	0.25	0	0.33	0.765	0	0.22	0.167	0.25	0.497
chr1	924763	924765	0.083	NA	0.249	0.254	0.167	0	0.333	0.2	0	0.632	0.333	0.203	0.143	0.25	0.333
chr1	924766	924768	0.153	NA	0.143	0.123	0	0	0.333	0	0	0.65	0	0.182	0.247	0	0.25
chr1	924771	924773	0.197	NA	0.143	0.123	0	0	0.5	0	0	0.635	0	0.182	0.128	0	0.25
chr1	924778	924780	0.266	NA	0.143	0.107	0	0.2	0.398	0.2	0.167	0.666	0	0.22	0.33	0	0
chr1	924790	924792	0.185	0	0.143	0.362	0	0	0.2	0	0.167	0.739	0	0.335	0.141	0	0.25
chr1	924793	924795	0.335	0	0.429	0.36	0.167	0.167	0.2	0	0	0.633	0	0.399	0.249	0.398	0.25
chr1	924800	924802	0.297	0	0.143	0.181	0.2	0.167	0.25	0	0	0.647	0	0.203	0.124	0	0.333
chr1	924802	924804	0.185	0	0.167	0.09	0	0	0.2	0.333	0	0.647	0	0	0.249	0	0.25
chr1	924804	924806	0.246	0	0.167	0.09	0	0	0.165	0	0.2	0.633	0	0	0.287	0	0.25
chr1	924814	924816	0.203	0	0.2	0.198	0	0.141	0.165	0	0	0.764	0.333	0	0.124	0	0.25
chr1	924818	924820	0.335	0	0.333	0.165	0	0.141	0.198	0	0	0.714	0	0.5	0.124	0	0.25
chr1	924846	924848	0.333	0	0.2	0.273	0	0.141	0	0	0	0.635	0	0.429	0.143	0.429	NA
chr1	924854	924856	0.424	0	0.2	0.273	0.25	0.287	0.25	0	0.2	0.703	0	0	0.143	0	NA
chr1	924860	924862	0.214	0	0.2	0.455	0	0.125	0	0	0	0.647	0	0.226	0.143	0.2	NA
chr1	924862	924864	0.305	0	0.2	0.364	0.2	0.125	0	0.124	0.25	0.71	0	0	0.143	0	NA
chr1	924865	924867	0.141	0	0.2	0.297	0	0.125	0	0	0	0.565	0	0	0.333	0	NA
chr1	924876	924878	0.212	0	0.2	0.455	0.283	0.125	0	0.113	0	0.686	0	0	0.429	0	NA
chr1	924883	924885	0.202	0	0.2	0.4	0	0.202	0	0	0.25	0.561	0	0	0.429	0	NA
chr1	924895	924897	0.307	0	0	0.4	0	0.111	0	0	0.167	0.534	0.247	0	0.429	0	NA
chr1	924901	924903	0.25	0	0	0.4	0.143	0.111	0	0	0	0.612	0.247	0	0.429	0	NA
chr1	924905	924907	0.361	0	0	0.3	0	0.111	0.247	0.125	0	0.833	0	0	0.5	0	NA
chr1	924907	924909	0.337	0	0	0.5	0	0.222	0	0.143	0.2	0.716	0	0	0.667	0.8	NA
chr1	924912	924914	0.181	0.333	0.5	0.33	0	0.25	0	0.128	0	0.581	0	0	0.667	0	NA
chr1	924929	924931	0.25	0	0.5	0.57	0	0.25	0	0	0	0.467	NA	0	0.503	0	NA
chr1	924938	924940	0.451	0.667	0.5	0.6	0	0.222	0	0.247	0.497	0.503	NA	0	0.503	0	NA
chr1	924952	924954	0.335	0	0.333	0.6	0	0.253	0.5	0	0	0.443	NA	0	0.333	0	NA
