chrom	start	end	q	diff	#cpg	p(MWU)	p(2dks)	mNeu	others	CD4	CD8	nB	NK	Mn	mNeu.1	m8	DC	Eo	Tr	m4	Mg	Er	mB	mycpgcount	mNeu-CD4	mNeu-CD8	mNeu-nB	mNeu-NK	mNeu-Mn	mNeu-m8	mNeu-DC	mNeu-Eo	mNeu-Tr	mNeu-m4	mNeu-Mg	mNeu-Er	mNeu-mB	maxCompartmentwisedelta	minCompartmentwiseDelta
chr10	68963293	68963459	1.4142e-06	-0.849455	4	1.0361000000000001e-08	1.192e-09	0.08516699999999999	0.9346200000000001	0.9670833333333334	0.9654166666666666	0.9740833333333332	0.963	0.8871666666666667	0.08516666666666667	0.972875	0.8730833333333334	0.787375	0.966625	0.9475	0.975375	0.93025	0.9309999999999999	4	-0.8819163333333334	-0.8802496666666666	-0.8889163333333333	-0.8778330000000001	-0.8019996666666667	-0.8877079999999999	-0.7879163333333334	-0.7022079999999999	-0.881458	-0.862333	-0.890208	-0.845083	-0.8458330000000001	-0.7022079999999999	-0.890208
chr10	100355486	100355672	1.5963999999999999e-06	-0.8247690000000001	4	1.0361000000000001e-08	1.3783e-09	0.13254000000000002	0.95731	0.9869166666666668	0.9608333333333332	0.9662083333333332	0.9484583333333332	0.9788333333333332	0.13254166666666667	0.950375	0.9825833333333333	0.93425	0.92625	0.960375	0.965625	0.954625	0.91225	4	-0.8543766666666667	-0.8282933333333333	-0.8336683333333333	-0.8159183333333333	-0.8462933333333333	-0.8178350000000001	-0.8500433333333333	-0.80171	-0.79371	-0.827835	-0.8330850000000001	-0.8220850000000001	-0.77971	-0.77971	-0.8543766666666667
chr10	117704672	117704703	7.1716999999999995e-06	-0.830341	4	1.0361000000000001e-08	8.3628e-09	0.024	0.85434	0.9261666666666666	0.9099166666666664	0.912	0.8814166666666667	0.8383333333333333	0.024	0.8847499999999999	0.7584166666666666	0.84525	0.83975	0.8708750000000001	0.78725	0.7243750000000001	0.87	4	-0.9021666666666666	-0.8859166666666665	-0.888	-0.8574166666666667	-0.8143333333333332	-0.8607499999999999	-0.7344166666666666	-0.8212499999999999	-0.81575	-0.846875	-0.76325	-0.7003750000000001	-0.846	-0.7003750000000001	-0.9021666666666666
chr11	71444464	71444562	7.0537e-06	-0.768705	4	1.0361000000000001e-08	8.193000000000001e-09	0.19008	0.9587899999999999	0.9755	0.9475	0.99125	0.9555833333333336	0.955	0.19008333333333333	0.958125	0.9343333333333336	0.947875	0.972875	0.965375	0.970375	0.905125	0.9743333333333332	4	-0.7854199999999999	-0.7574199999999999	-0.8011699999999999	-0.7655033333333334	-0.7649199999999999	-0.768045	-0.7442533333333334	-0.757795	-0.782795	-0.7752950000000001	-0.780295	-0.7150449999999999	-0.7842533333333332	-0.7150449999999999	-0.8011699999999999
chr11	76096641	76097195	2.8421999999999995e-15	-0.8444440000000001	10	4.0079e-14	2.0280999999999997e-19	0.08225	0.92669	0.9647	0.9454666666666668	0.9568666666666668	0.9338666666666666	0.9020666666666668	0.08224999999999998	0.93875	0.9072	0.8255000000000001	0.9447500000000002	0.95	0.91855	0.8992000000000001	0.9323	10	-0.88245	-0.8632166666666666	-0.8746166666666667	-0.8516166666666666	-0.8198166666666666	-0.8565	-0.8249499999999999	-0.7432500000000001	-0.8625000000000002	-0.8677499999999999	-0.8363	-0.8169500000000001	-0.85005	-0.7432500000000001	-0.88245
chr12	8128471	8128631	1.8772999999999998e-10	-0.8549959999999999	7	7.5828e-14	4.3974e-14	0.078333	0.9333299999999999	0.9790476190476189	0.9345238095238096	0.9710952380952379	0.9699047619047618	0.8677142857142857	0.07833333333333334	0.9380714285714286	0.8007619047619048	0.9035714285714286	0.9695714285714286	0.9632142857142856	0.9744285714285714	0.9162142857142858	0.966857142857143	7	-0.9007146190476191	-0.8561908095238095	-0.8927622380952379	-0.8915717619047618	-0.7893812857142857	-0.8597384285714286	-0.7224289047619048	-0.8252384285714286	-0.8912384285714287	-0.8848812857142857	-0.8960955714285714	-0.8378812857142858	-0.888524142857143	-0.7224289047619048	-0.9007146190476191
chr12	12536601	12536734	1.8052e-06	-0.846508	4	1.0361000000000001e-08	1.6058e-09	0.085667	0.93217	0.94875	0.9125833333333332	0.97975	0.9675833333333336	0.9396666666666668	0.08566666666666667	0.93175	0.9406666666666668	0.8126249999999999	0.956	0.977	0.9059999999999999	0.90275	0.9075	4	-0.863083	-0.8269163333333334	-0.894083	-0.8819163333333335	-0.8539996666666667	-0.8460829999999999	-0.8549996666666666	-0.726958	-0.870333	-0.8913329999999999	-0.820333	-0.817083	-0.821833	-0.726958	-0.894083
chr12	50742756	50742883	1.1963e-07	-0.808348	6	2.27e-12	6.7781e-11	0.14117000000000002	0.94952	0.9638888888888888	0.9363888888888888	0.9748333333333332	0.961	0.9441666666666668	0.14116666666666666	0.9408333333333332	0.9319444444444444	0.9135833333333334	0.9795	0.974	0.94675	0.9115	0.955	6	-0.8227188888888889	-0.7952188888888888	-0.8336633333333333	-0.81983	-0.8029966666666667	-0.7996633333333333	-0.7907744444444444	-0.7724133333333334	-0.8383300000000001	-0.8328300000000001	-0.8055800000000001	-0.7703300000000001	-0.81383	-0.7703300000000001	-0.8383300000000001
chr12	57500277	57500514	6.3738e-14	-0.882707	9	4.0301e-14	5.9014e-18	0.06637	0.9490799999999999	0.9617407407407406	0.9474444444444444	0.9702962962962964	0.9576296296296296	0.959222222222222	0.06637037037037037	0.9673888888888889	0.9467407407407408	0.7789999999999999	0.9705555555555556	0.9665555555555556	0.9634444444444444	0.9601666666666668	0.9587037037037036	9	-0.8953707407407405	-0.8810744444444445	-0.9039262962962964	-0.8912596296296297	-0.892852222222222	-0.9010188888888888	-0.8803707407407407	-0.7126299999999999	-0.9041855555555556	-0.9001855555555555	-0.8970744444444443	-0.8937966666666667	-0.8923337037037036	-0.7126299999999999	-0.9041855555555556
chr12	111782711	111782879	3.5020999999999997e-09	-0.786879	8	4.5519e-14	1.197e-12	0.15446	0.94134	0.9799166666666668	0.9614166666666668	0.9689583333333334	0.967	0.8574583333333334	0.15445833333333334	0.957625	0.8720833333333333	0.8683125	0.9848125	0.9574375	0.95425	0.9578125	0.9610416666666668	8	-0.8254566666666667	-0.8069566666666668	-0.8144983333333333	-0.8125399999999999	-0.7029983333333334	-0.8031649999999999	-0.7176233333333333	-0.7138525	-0.8303524999999999	-0.8029774999999999	-0.79979	-0.8033524999999999	-0.8065816666666668	-0.7029983333333334	-0.8303524999999999
chr13	77738811	77738995	1.6976e-08	-0.897025	6	2.27e-12	7.1581e-12	0.030056	0.9270799999999999	0.975222222222222	0.9350555555555556	0.9692777777777778	0.9491111111111112	0.9038888888888891	0.03005555555555556	0.8933333333333334	0.8832777777777777	0.8193333333333334	0.9458333333333332	0.9224166666666666	0.9413333333333336	0.9078333333333334	0.962	6	-0.945166222222222	-0.9049995555555556	-0.9392217777777778	-0.9190551111111112	-0.8738328888888891	-0.8632773333333335	-0.8532217777777777	-0.7892773333333334	-0.9157773333333332	-0.8923606666666666	-0.9112773333333336	-0.8777773333333334	-0.931944	-0.7892773333333334	-0.945166222222222
chr14	20897241	20897309	1.9287e-06	-0.807924	4	1.0811e-08	1.7379e-09	0.0815	0.8894200000000001	0.9409166666666668	0.9551666666666668	0.94925	0.9470000000000001	0.8435833333333335	0.0815	0.8143750000000001	0.8959166666666666	0.86525	0.851375	0.8708750000000001	0.905125	0.82625	0.8296666666666667	4	-0.8594166666666667	-0.8736666666666667	-0.86775	-0.8654999999999999	-0.7620833333333334	-0.732875	-0.8144166666666666	-0.78375	-0.769875	-0.789375	-0.8236249999999999	-0.74475	-0.7481666666666666	-0.732875	-0.8736666666666667
chr14	52304989	52305296	1.5416e-06	-0.756235	4	1.0361000000000001e-08	1.3200999999999998e-09	0.20292000000000002	0.95915	0.9955833333333334	0.9510833333333334	0.9856666666666668	0.9816666666666666	0.9778333333333332	0.20291666666666666	0.936125	0.9640833333333334	0.909625	0.950875	0.971625	0.946125	0.9325	0.9301666666666668	4	-0.7926633333333334	-0.7481633333333334	-0.7827466666666667	-0.7787466666666666	-0.7749133333333333	-0.7332050000000001	-0.7611633333333334	-0.706705	-0.747955	-0.768705	-0.743205	-0.72958	-0.7272466666666667	-0.706705	-0.7926633333333334
chr15	49974140	49974208	3.0016e-06	-0.91543	5	1.5056e-10	2.9702e-09	0.013933000000000001	0.9293600000000001	0.9541333333333334	0.9671333333333332	0.953	0.9718666666666668	0.8415333333333332	0.013933333333333336	0.9366	0.8320666666666666	0.9341	0.9283	0.9420000000000001	0.9840000000000001	0.9211	0.9392	5	-0.9402003333333334	-0.9532003333333332	-0.939067	-0.9579336666666668	-0.8276003333333333	-0.922667	-0.8181336666666666	-0.920167	-0.9143670000000002	-0.928067	-0.970067	-0.907167	-0.9252670000000001	-0.8181336666666666	-0.970067
chr15	62888585	62888673	5.0774999999999996e-08	-0.8959520000000001	5	1.5056e-10	2.4966e-11	0.0098667	0.9058200000000001	0.9586	0.9481333333333334	0.9626666666666668	0.9620000000000001	0.861	0.009866666666666666	0.9003	0.8347333333333333	0.754	0.9102	0.9124	0.9042	0.9159	0.9055333333333332	5	-0.9487333	-0.9382666333333334	-0.9527999666666668	-0.9521333000000001	-0.8511333000000001	-0.8904333000000001	-0.8248666333333333	-0.7441333000000001	-0.9003333	-0.9025333	-0.8943333000000001	-0.9060333	-0.8956666333333333	-0.7441333000000001	-0.9527999666666668
chr15	64982207	64982302	1.4943e-06	-0.79008	4	1.0361000000000001e-08	1.27e-09	0.17025	0.9603299999999999	0.9739166666666668	0.9744166666666668	0.981	0.9699166666666666	0.9255	0.17025	0.983125	0.9434583333333332	0.937	0.972375	0.972	0.95325	0.917875	0.9716666666666668	4	-0.8036666666666668	-0.8041666666666667	-0.8107500000000001	-0.7996666666666666	-0.75525	-0.812875	-0.7732083333333333	-0.76675	-0.802125	-0.80175	-0.7829999999999999	-0.747625	-0.8014166666666667	-0.747625	-0.812875
chr15	78007862	78008122	1.4515000000000001e-11	-0.816852	8	4.2744e-14	2.5081e-15	0.10463	0.92148	0.94525	0.9313333333333332	0.965125	0.9444583333333332	0.9329166666666668	0.104625	0.920125	0.9253333333333332	0.8373125000000001	0.9304375	0.9129375	0.935375	0.895375	0.8707916666666666	8	-0.84062	-0.8267033333333333	-0.8604950000000001	-0.8398283333333333	-0.8282866666666667	-0.815495	-0.8207033333333332	-0.7326825000000001	-0.8258074999999999	-0.8083075000000001	-0.8307450000000001	-0.790745	-0.7661616666666666	-0.7326825000000001	-0.8604950000000001
chr15	98945584	98945821	1.4998e-09	-0.838773	6	2.27e-12	4.5461e-13	0.079111	0.9178799999999999	0.9681666666666668	0.93	0.9578333333333332	0.9132222222222222	0.9575	0.07911111111111112	0.8476666666666666	0.9612777777777776	0.8533333333333334	0.8787499999999998	0.8965000000000001	0.943	0.9075	0.8575555555555555	6	-0.8890556666666668	-0.8508889999999999	-0.8787223333333333	-0.8341112222222221	-0.878389	-0.7685556666666665	-0.8821667777777776	-0.7742223333333333	-0.7996389999999998	-0.817389	-0.8638889999999999	-0.8283889999999999	-0.7784445555555555	-0.7685556666666665	-0.8890556666666668
chr15	101056964	101057014	3.2579e-08	-0.808717	6	2.27e-12	1.4963e-11	0.12667	0.9353799999999999	0.9748888888888891	0.9438888888888888	0.9725555555555556	0.9663888888888891	0.9133333333333332	0.12666666666666668	0.9353333333333332	0.8825555555555556	0.8292499999999999	0.94175	0.9395833333333332	0.9650833333333332	0.912	0.9536111111111112	6	-0.8482188888888891	-0.8172188888888889	-0.8458855555555556	-0.8397188888888889	-0.7866633333333333	-0.8086633333333333	-0.7558855555555557	-0.70258	-0.81508	-0.8129133333333334	-0.8384133333333332	-0.7853299999999999	-0.8269411111111113	-0.70258	-0.8482188888888891
chr16	15971368	15971868	4.3861000000000004e-17	-0.9342590000000001	11	4.1411e-14	2.0848e-21	0.019576	0.95383	0.9743333333333332	0.957151515151515	0.9681212121212124	0.9726363636363636	0.94	0.019575757575757576	0.9407272727272726	0.953121212121212	0.8589545454545454	0.9812272727272728	0.956590909090909	0.9667272727272728	0.9370909090909092	0.9659393939393941	11	-0.9547573333333332	-0.9375755151515148	-0.9485452121212122	-0.9530603636363636	-0.920424	-0.9211512727272726	-0.933545212121212	-0.8393785454545454	-0.9616512727272728	-0.937014909090909	-0.9471512727272728	-0.917514909090909	-0.9463633939393941	-0.8393785454545454	-0.9616512727272728
chr16	30788421	30788519	1.9471e-06	-0.925587	4	1.0361000000000001e-08	1.7612e-09	0.015291999999999997	0.9408799999999999	0.982	0.9565833333333332	0.9775	0.9631666666666666	0.8987499999999999	0.015291666666666672	0.9525	0.897	0.837375	0.964125	0.9329999999999999	0.969375	0.95625	0.9329166666666668	4	-0.966708	-0.9412913333333334	-0.962208	-0.9478746666666666	-0.883458	-0.937208	-0.881708	-0.822083	-0.948833	-0.917708	-0.954083	-0.940958	-0.9176246666666668	-0.822083	-0.966708
chr17	572477	572630	1.4335999999999996e-13	-0.744348	9	4.4631e-14	1.471e-17	0.21952	0.9638700000000001	0.9721296296296296	0.966	0.9787037037037036	0.9602962962962964	0.9620000000000002	0.21951851851851853	0.9717222222222222	0.942148148148148	0.9443888888888888	0.9583888888888888	0.9707777777777776	0.9710555555555556	0.9635	0.968037037037037	9	-0.7526096296296296	-0.74648	-0.7591837037037037	-0.7407762962962963	-0.7424800000000003	-0.7522022222222222	-0.7226281481481479	-0.7248688888888888	-0.7388688888888888	-0.7512577777777776	-0.7515355555555556	-0.7439800000000001	-0.7485170370370371	-0.7226281481481479	-0.7591837037037037
chr17	9975772	9975998	3.7946e-14	-0.7971159999999999	9	4.0301e-14	3.2939999999999996e-18	0.12322000000000001	0.9203399999999999	0.9741851851851852	0.9542962962962964	0.9713333333333334	0.9502222222222222	0.8863333333333334	0.12322222222222222	0.9258888888888888	0.8443888888888891	0.8769444444444445	0.9056666666666666	0.9070555555555556	0.9463888888888891	0.8792777777777778	0.9154814814814816	9	-0.8509651851851853	-0.8310762962962963	-0.8481133333333334	-0.8270022222222222	-0.7631133333333334	-0.8026688888888888	-0.7211688888888891	-0.7537244444444445	-0.7824466666666666	-0.7838355555555555	-0.8231688888888891	-0.7560577777777778	-0.7922614814814816	-0.7211688888888891	-0.8509651851851853
chr17	16306216	16306251	7.9952e-06	-0.887758	4	1.0361000000000001e-08	9.5459e-09	0.0735	0.96126	0.9779166666666668	0.9678333333333332	0.9711666666666666	0.96625	0.9655833333333332	0.0735	0.942125	0.959	0.9165	0.96025	0.96575	0.96175	0.942	0.9738333333333332	4	-0.9044166666666668	-0.8943333333333333	-0.8976666666666666	-0.89275	-0.8920833333333332	-0.8686250000000001	-0.8855000000000001	-0.8430000000000001	-0.8867499999999999	-0.89225	-0.8882499999999999	-0.8685	-0.9003333333333333	-0.8430000000000001	-0.9044166666666668
chr17	59012769	59012825	1.6901e-06	-0.8815299999999999	4	1.0361000000000001e-08	1.4780999999999999e-09	0.078583	0.96011	0.97375	0.9415833333333332	0.95925	0.99575	0.9858333333333332	0.07858333333333331	0.97925	0.95025	0.88175	0.96525	0.977875	0.94375	0.96675	0.9450833333333334	4	-0.895167	-0.8630003333333334	-0.880667	-0.917167	-0.9072503333333334	-0.900667	-0.8716670000000001	-0.8031670000000001	-0.886667	-0.899292	-0.865167	-0.888167	-0.8665003333333334	-0.8031670000000001	-0.917167
chr17	76328773	76328957	1.9800000000000002e-15	-0.854448	10	4.0079e-14	1.3638000000000002e-19	0.10472999999999999	0.9591799999999999	0.9761	0.9626666666666668	0.9858	0.9761	0.9185666666666666	0.10473333333333333	0.9699	0.9191	0.9104	0.9576	0.9771	0.978	0.9665	0.973	10	-0.8713700000000001	-0.8579366666666667	-0.88107	-0.8713700000000001	-0.8138366666666667	-0.8651700000000001	-0.8143699999999999	-0.8056699999999999	-0.8528700000000001	-0.8723700000000001	-0.8732700000000001	-0.8617699999999999	-0.8682700000000001	-0.8056699999999999	-0.88107
chr17	78420066	78420283	3.9517e-18	-0.80596	12	4.5963e-14	1.4821000000000002e-22	0.13235999999999998	0.93832	0.9718055555555556	0.9547222222222222	0.9782777777777776	0.9491666666666668	0.9464722222222224	0.13236111111111112	0.9616249999999998	0.8826388888888889	0.8335833333333333	0.9565416666666668	0.9456666666666668	0.9477083333333332	0.9080416666666667	0.9363333333333332	12	-0.8394455555555556	-0.8223622222222222	-0.8459177777777778	-0.8168066666666667	-0.8141122222222223	-0.8292649999999999	-0.7502788888888889	-0.7012233333333333	-0.8241816666666668	-0.8133066666666668	-0.8153483333333333	-0.7756816666666668	-0.8039733333333332	-0.7012233333333333	-0.8459177777777778
chr18	56159919	56160096	1.4841e-07	-0.844715	5	1.5056e-10	8.6976e-11	0.065	0.9097200000000001	0.9652	0.9548666666666664	0.9601333333333332	0.9417333333333332	0.9406	0.06499999999999999	0.8622	0.9232666666666668	0.7841	0.8654999999999999	0.8388	0.9322	0.8608	0.892	5	-0.9002000000000001	-0.8898666666666666	-0.8951333333333333	-0.8767333333333331	-0.8756000000000002	-0.7971999999999999	-0.8582666666666667	-0.7191000000000001	-0.8005	-0.7738	-0.8672	-0.7958000000000001	-0.8270000000000001	-0.7191000000000001	-0.9002000000000001
chr19	4991569	4991787	1.7394e-08	-0.899167	6	2.27e-12	7.3569e-12	0.046389	0.9455600000000001	0.9821111111111112	0.9663888888888891	0.9728888888888888	0.9518333333333334	0.9575	0.04638888888888889	0.9460833333333332	0.9468888888888888	0.75175	0.9603333333333334	0.9465	0.9571666666666668	0.936	0.958277777777778	6	-0.9357221111111113	-0.9199998888888891	-0.9264998888888888	-0.9054443333333334	-0.911111	-0.8996943333333333	-0.9004998888888888	-0.705361	-0.9139443333333334	-0.9001110000000001	-0.9107776666666668	-0.8896109999999999	-0.911888777777778	-0.705361	-0.9357221111111113
chr19	19073538	19073700	4.2014e-06	-0.804106	4	1.0361000000000001e-08	4.4533999999999995e-09	0.13957999999999998	0.9436899999999999	0.95675	0.9484166666666668	0.9644166666666666	0.96375	0.9361666666666668	0.13958333333333334	0.974125	0.8997499999999999	0.877	0.968375	0.9485	0.9365	0.93175	0.9538333333333336	4	-0.8171700000000002	-0.8088366666666666	-0.8248366666666667	-0.8241699999999998	-0.7965866666666668	-0.8345450000000001	-0.76017	-0.73742	-0.8287950000000001	-0.8089200000000001	-0.7969200000000001	-0.7921699999999999	-0.8142533333333335	-0.73742	-0.8345450000000001
chr19	24088166	24088371	3.9156e-07	-0.8443209999999999	6	2.27e-12	2.6883e-10	0.038694	0.88302	0.9547777777777776	0.9486111111111112	0.950222222222222	0.8400555555555557	0.7453333333333334	0.03869444444444445	0.9340833333333332	0.7616111111111111	0.7470833333333333	0.9268333333333332	0.9095833333333334	0.9155	0.9205833333333334	0.9434444444444444	6	-0.9160837777777776	-0.9099171111111112	-0.911528222222222	-0.8013615555555557	-0.7066393333333334	-0.8953893333333333	-0.7229171111111111	-0.7083893333333333	-0.8881393333333333	-0.8708893333333334	-0.8768060000000001	-0.8818893333333334	-0.9047504444444444	-0.7066393333333334	-0.9160837777777776
chr19	40733011	40733210	3.9221e-08	-0.928742	5	1.5056e-10	1.8495e-11	0.0076667	0.9364100000000001	0.9233666666666668	0.9647333333333334	0.9605333333333332	0.9668666666666668	0.9357333333333332	0.007666666666666667	0.9221	0.9122	0.9011	0.9287	0.9105	0.956	0.9501	0.9247333333333332	5	-0.9156999666666666	-0.9570666333333334	-0.9528666333333332	-0.9591999666666666	-0.9280666333333332	-0.9144333	-0.9045333000000001	-0.8934332999999999	-0.9210333	-0.9028333	-0.9483333	-0.9424333	-0.9170666333333332	-0.8934332999999999	-0.9591999666666666
chr19	48175869	48175972	3.2706e-11	-0.8304290000000001	7	7.8049e-14	6.203e-15	0.10880999999999999	0.93924	0.9706190476190476	0.9583809523809524	0.9663333333333332	0.964952380952381	0.8766666666666668	0.1088095238095238	0.973	0.8583809523809524	0.8534285714285714	0.9684285714285714	0.9591428571428572	0.9588571428571429	0.9446428571428572	0.9646190476190478	7	-0.8618090476190476	-0.8495709523809525	-0.8575233333333333	-0.856142380952381	-0.7678566666666669	-0.86419	-0.7495709523809524	-0.7446185714285715	-0.8596185714285715	-0.8503328571428572	-0.8500471428571429	-0.8358328571428573	-0.8558090476190479	-0.7446185714285715	-0.86419
chr2	8165614	8165725	9.321000000000001e-06	-0.8793639999999999	4	1.0361000000000001e-08	1.1506e-08	0.05441699999999999	0.9337799999999999	0.97	0.9544166666666668	0.9575833333333332	0.9588333333333332	0.9289166666666666	0.05441666666666667	0.927375	0.8847499999999999	0.83625	0.952375	0.927625	0.980625	0.8988749999999999	0.935	4	-0.915583	-0.8999996666666668	-0.9031663333333332	-0.9044163333333334	-0.8744996666666667	-0.8729580000000001	-0.830333	-0.7818330000000001	-0.897958	-0.8732080000000001	-0.926208	-0.8444579999999999	-0.880583	-0.7818330000000001	-0.926208
