	S01BHIA1_mono.bw.bg	S01MAPA1_mono.bw.bg	S01E03A1_mono.bw.bg	S017RE51_memb.bw.bg	S01ECGA1_naiveb.bw.bg	NBC_NC11_41_naiveb.bw.bg	C002CTA1bs_cytnk.bw.bg	C0067N51_cytnk.bw.bg	S01E8O51_cytnk.bw.bg	S009W451_CD4.bw.bg	S008H151_CD4.bw.bg	C0066P51_CD8.bw.bg	C003VO55_CD8.bw.bg	C00256A1bs_CD8.bw.bg
chr16:85521229	1.5	3.64	2.42	6.4	1.92	4.54	31	24.46	29.5	1.44	1.9	2.96	3.46	6.86
chr11:114198263	3.95	6.175	3.85	14	2.775	7.9	18.7	23.2	25.9	1.775	6.25	3.85	2.55	2.275
chr1:159027376	3.1	2.466666667	2.466666667	6	2.7	2.3	21.23333333	15.73333333	15.76666667	0.833333333	1.966666667	1.866666667	1.133333333	10.96666667
chr18:48947238	3.85	2.85	0	4.05	3.875	3.475	20.15	22.9	17.05	2.175	4.95	1.25	3.175	3.05
chr15:41260007	2.066666667	4.966666667	4.333333333	4.833333333	1.966666667	1.4	24.8	17.6	19.9	4.066666667	3.066666667	0	2.766666667	2.266666667
chr1:167487791	5.066666667	4.9	2.666666667	12.26666667	1.2	3	54.63333333	45.8	44	7.066666667	7.466666667	4.633333333	7.333333333	13.03333333
chr13:50422386	0.6	0	0	7.6	2.033333333	2.5	36.83333333	35.8	54.26666667	9.3	1.6	0	8	12.73333333
chr6:16767672	3.7	0	2.2	1.3	0	2.333333333	41.36666667	46.5	62.1	10.86666667	3.4	1.333333333	7.633333333	7.2
chr2:43140593	1.05	3.425	0.75	3.3	3.475	1.075	31.475	48.66666667	41.675	8.4	2.275	26.75	1.925	8.875
chr2:231400636	10.56666667	10.36666667	6.666666667	5.033333333	2.766666667	7.7	33.73333333	43.4	44.4	3.066666667	2.166666667	11.26666667	2.366666667	5.5
chr12:124433490	7.35	8.525	7.3	2.5	1.925	2.075	36.875	52.875	48.4	2.3	4.65	4.525	4.3	8.9
chr13:99616549	6.5	9.466666667	5.633333333	7.666666667	5.766666667	1.233333333	29.7	38.23333333	29.63333333	2.233333333	10.26666667	9.8	5.566666667	10.16666667
chr7:2459139	8.233333333	3.733333333	7.466666667	13.26666667	3.033333333	7.9	37.33333333	40.96666667	37.66666667	2.066666667	3.833333333	6.133333333	2.566666667	9.733333333
chr2:233388195	5.083333333	6.683333333	8.983333333	9.483333333	9.066666667	7.833333333	31.83333333	35.56666667	36.05	2	1.85	9.733333333	8.833333333	13.26666667
chr8:30113222	66.1	64.775	93.9	1.925	0	5.05	2.55	1.175	5.5	0.675	1.475	7.075	1.475	3.1
chr12:122401002	89.03333333	72.06666667	67.66666667	8.666666667	0	2.7	4	0.633333333	5.6	1.366666667	1.8	3	2.233333333	7.233333333
chr2:206098979	72.96666667	76	62.96666667	1.766666667	1.433333333	5	3.233333333	2.766666667	2.466666667	3.1	0	4.766666667	5.266666667	0
chr11:67302298	63.25	75.2	64.125	1.325	6.15	4.6	7.275	0	1.4	6.925	2.275	8.75	2.375	0.725
chr16:12344913	76.36666667	78.4	96.8	0.733333333	4.6	0	2.433333333	3.166666667	4.266666667	0	5.7	9.333333333	0	3.933333333
chr22:37682695	69.9	80.73333333	82.96666667	4.7	4.166666667	5.7	3.933333333	4.566666667	0	3.566666667	1.966666667	5.466666667	3.866666667	4.833333333
chr10:29630715	76.26	88.16	84.96	4.66	1.68	0.8	1.74	1.34	3.42	4.54	4	10.68	4.22	2.92
chr20:19974936	85.2	69.8	84.83333333	1.766666667	5.9	1.7	3.2	1.766666667	7.033333333	1.566666667	3.266666667	2.9	8.1	4.666666667
chr15:99455298	92.33333333	74.4	80.03333333	3.133333333	2.833333333	2.666666667	3.533333333	6.366666667	4.633333333	4.966666667	2.166666667	3.866666667	2.7	3.866666667
chr17:58493698	85.4	79.63333333	85.23333333	5.066666667	1.266666667	1.933333333	4.7	0.933333333	3.066666667	9.866666667	5	5	3.3	2.733333333
chr1:246582614	88.13333333	81.66666667	91.86666667	2.2	2.066666667	0	6.4	4	4.966666667	5.933333333	0	4.1	2.366666667	4.533333333
chr17:42226001	92.53333333	82.16666667	88.4	3.033333333	7.9	2.3	4.533333333	2.233333333	0.833333333	5.566666667	0	6.066666667	3.033333333	5.033333333
chr17:77100327	90.23333333	80	88.93333333	3.5	0	3.233333333	2.633333333	13.86666667	3.733333333	0	3.266666667	2.233333333	0	1.866666667
chr8:141137888	87.5	90.8	93.13333333	1.3	3.733333333	3.666666667	0.6	6.666666667	2.666666667	2	2	6.566666667	4.7	0.7
chr3:171825698	96.23333333	89.06666667	87.66666667	3.266666667	8.8	2.733333333	6.166666667	5.5	6.333333333	0	3.3	2.833333333	0.566666667	2.466666667
chr21:44849824	93.46	98.06	86.48	1.6	3.46	3	7.5	4.82	1.9	5.5	2.94	11.38	2.6	5.14
chr7:6434288	92.53333333	87.96666667	87.03333333	0.833333333	1.066666667	3.1	0.733333333	1.1	1.266666667	2.633333333	4.866666667	14.8	4.533333333	4.733333333
chr11:94545744	91.9	92.83333333	84.83333333	3.866666667	5.466666667	5.066666667	0.533333333	2.133333333	3.833333333	0	2.066666667	10.4	2.1	4.9
chr1:21317537	97.58	91.14	83.14	1.18	1.64	3.44	1.82	3.88	3.34	4.5	3.98	8.08	1.98	2.5
chr2:47058769	96.1	89.83333333	86.5	1.9	3.433333333	2.5	4.033333333	4.1	1.4	4.633333333	5.066666667	9.566666667	0	0.833333333
chr12:64700027	98.1	100	100	3.566666667	4.6	2.066666667	9.333333333	9.6	12.63333333	19.43333333	0	10.7	0	1.433333333
chr1:8892395	96.8	97.3	97.63333333	17.33333333	0.8	5.6	6.7	5.466666667	10.43333333	5.4	1.266666667	0	1.2	9.333333333
chr4:3085127	96.33333333	91	91.23333333	15.96666667	4.333333333	4.233333333	7.233333333	3.966666667	3.266666667	2.433333333	0.866666667	6	2.7	4.4
chr19:18301290	96.4	93.7	96	9.066666667	4.366666667	1.966666667	5.966666667	7.866666667	2.133333333	6.533333333	4.6	1.066666667	2.4	2.933333333
chr8:28773612	100	100	100	3.1	1.666666667	2.733333333	21.16666667	8	7.466666667	1.233333333	3.666666667	11.33333333	4.633333333	3.933333333
chr1:235835471	94.7	100	99.23333333	3.033333333	3.933333333	3.1	9.5	5.833333333	10.8	2.133333333	0.933333333	2.066666667	1.866666667	5.133333333
chr19:40364149	94.36666667	98.2	96.86666667	5.233333333	2.466666667	2.166666667	6.7	7.6	3	2.9	2.933333333	4	3.7	5.733333333
chr1:33338967	99.06666667	100	99.26666667	1.833333333	1.233333333	2.066666667	9.466666667	5.2	4.666666667	3.533333333	2.233333333	4.733333333	3.033333333	2.4
chr19:47664412	99.7	100	98.225	3.575	2.25	3.375	8.05	7.65	5.9	1.4	3.3	4.525	0.55	4.025
chr16:3591051	100	100	100	1.566666667	5.466666667	3.733333333	7.6	4.3	1.6	2.733333333	2	5.166666667	1.4	5.733333333
chr9:77849184	100	98.3	100	3.333333333	7	5.133333333	9.3	9.733333333	2.166666667	1.233333333	2.766666667	5.766666667	0	4.366666667
chr19:14127431	99.575	100	98	2.275	0.85	3.975	3.9	3.975	2.525	0.9	5.725	7.075	4.725	2.025
chr8:673597	97.83333333	100	100	4	0	2.866666667	5	4.316666667	3.133333333	3.533333333	5.233333333	4.233333333	2.3	3.4
chr8:27391187	99.33333333	97.33333333	98.9	7.133333333	1.866666667	3.7	4.4	2.866666667	3.333333333	0	1.866666667	5.9	1.666666667	2.133333333
chr2:28717532	98.5	99.03333333	99.1	3.4	2.8	4.166666667	3.966666667	3.366666667	4.9	1.5	2.366666667	3.5	1.1	2
chr6:16728327	100	97.2	100	3.666666667	4.6	1.333333333	4.1	5.733333333	5.566666667	0	3.166666667	3.966666667	2.366666667	2.266666667
chr15:63502704	99.3	98.25	98.525	7.2	2.675	3.175	5.275	5	0.775	3.075	3	19.85	6.125	4.05
chr16:27415071	100	98.76666667	99	6.7	3.733333333	6.2	7.466666667	2.266666667	1.4	0	11.1	18.4	8.5	2.3
chr5:142803621	95.22	97.8	98.22	2.5	2.5	1.74	3.62	2.72	8.9	1.46	4.34	11.64	2.82	2.18
chr9:127131524	98.9	98.03333333	100	4.5	3.033333333	5.3	5.833333333	2.3	12.6	2.666666667	4.766666667	14.16666667	1.9	2.7
chr8:26611852	97.52	97.28	96.96	4.18	3.56	6.42	5.62	2.98	8.3	1.36	5.78	6.38	1.32	2.7
chr10:127918798	99.66666667	100	100	5.266666667	1	5.033333333	5.733333333	2.233333333	5.166666667	2.766666667	1.133333333	10.03333333	0	2.2
chr9:113188524	100	100	100	2.266666667	4.866666667	4.966666667	4.866666667	3.033333333	6.266666667	1.4	4.066666667	9.866666667	2.066666667	3.6
chr6:13761191	100	100	100	7.4	0	4.833333333	0.666666667	3.1	1.666666667	3.5	0	13.43333333	2.933333333	0.933333333
chr3:196625294	100	97.83333333	100	0.7	1.333333333	1.533333333	1.666666667	8.7	6.266666667	3.733333333	2.4	16.46666667	1.033333333	5.066666667
chr16:84083087	98.96666667	97.53333333	100	2.533333333	1.2	2.866666667	3.866666667	6.033333333	7.666666667	1.433333333	2.633333333	13.8	5.033333333	6.8
chr12:121278668	99.36666667	92.9	100	6.266666667	5.266666667	3.166666667	6.633333333	2.133333333	4.133333333	6.2	6.366666667	14.4	2.1	1.733333333
chr13:50715520	100	98.56666667	100	0	1.666666667	0.533333333	7.7	4.633333333	2.233333333	5.966666667	3.666666667	14.2	3.333333333	5.7
chr17:2803604	97.5	96.86666667	100	3.033333333	1.333333333	2.333333333	4.7	3.9	1.933333333	5.566666667	2.4	11.1	1.3	0.933333333
chr9:134371875	98.8	100	100	2.95	1.475	3.65	7.05	3.8	1.2	2.45	3.85	12.7	2.875	1.5
