File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF425SLA	bigWig	bigWig		plus strand methylation state at CpG	GRCh38	ENCSR224CTR	WGBS	/human-donors/ENCDO845WKR/	UBERON:0008952	upper lobe of left lung	tissue	Homo sapiens											DNA						2017-12-04	ENCODE				1	1_1							/files/ENCFF041MJS/, /files/ENCFF792NJK/	1988938182	ENCODE Processing Pipeline	6f4fe23ed46b22d99b0557a825f447ea		https://www.encodeproject.org/files/ENCFF425SLA/@@download/ENCFF425SLA.bigWig				released	s3://encode-public/2021/03/03/3061369f-57eb-44e3-b7bf-663a7f55db2b/ENCFF425SLA.bigWig	ENCODE4 v1.1.5 GRCh38	released			
ENCFF338IAL	bigWig	bigWig		minus strand methylation state at CpG	GRCh38	ENCSR224CTR	WGBS	/human-donors/ENCDO845WKR/	UBERON:0008952	upper lobe of left lung	tissue	Homo sapiens											DNA						2017-12-04	ENCODE				1	1_1							/files/ENCFF041MJS/, /files/ENCFF792NJK/	2013879864	ENCODE Processing Pipeline	4231c55299f1634ce084e9a8f108bdb4		https://www.encodeproject.org/files/ENCFF338IAL/@@download/ENCFF338IAL.bigWig				released	s3://encode-public/2021/03/03/faed221e-7b41-4535-8a24-7d0809a739d3/ENCFF338IAL.bigWig	ENCODE4 v1.1.5 GRCh38	released			
ENCFF716SXG	bed bed9+	bed	bed9+	methylation state at CpG	GRCh38	ENCSR305VIT	WGBS	/human-donors/ENCDO793LXB/	UBERON:0000992	ovary	tissue	Homo sapiens											DNA						2017-12-04	ENCODE				1	1_1							/files/ENCFF595NPP/, /files/ENCFF792NJK/	731851954	ENCODE Processing Pipeline	b00e8d7923d8e892af1249cd86b5b921		https://www.encodeproject.org/files/ENCFF716SXG/@@download/ENCFF716SXG.bed.gz				released	s3://encode-public/2021/03/03/99996644-ac22-41a7-9bd5-71c169809964/ENCFF716SXG.bed.gz	ENCODE4 v1.1.5 GRCh38	released			
ENCFF775MYJ	bigWig	bigWig		plus strand methylation state at CpG	GRCh38	ENCSR305VIT	WGBS	/human-donors/ENCDO793LXB/	UBERON:0000992	ovary	tissue	Homo sapiens											DNA						2017-12-04	ENCODE				1	1_1							/files/ENCFF595NPP/, /files/ENCFF792NJK/	2183894156	ENCODE Processing Pipeline	44ff831b0a85dbc61488244c46bc3f6d		https://www.encodeproject.org/files/ENCFF775MYJ/@@download/ENCFF775MYJ.bigWig				released	s3://encode-public/2021/03/03/8134b452-6417-4db0-b924-1ffc0355dfdf/ENCFF775MYJ.bigWig	ENCODE4 v1.1.5 GRCh38	released			
ENCFF284XWH	bigWig	bigWig		minus strand methylation state at CpG	GRCh38	ENCSR305VIT	WGBS	/human-donors/ENCDO793LXB/	UBERON:0000992	ovary	tissue	Homo sapiens											DNA						2017-12-04	ENCODE				1	1_1							/files/ENCFF595NPP/, /files/ENCFF792NJK/	2188419532	ENCODE Processing Pipeline	cdeada4152c36894389835ed8bf4e6f0		https://www.encodeproject.org/files/ENCFF284XWH/@@download/ENCFF284XWH.bigWig				released	s3://encode-public/2021/03/03/36833240-2663-4430-8b46-89f2d47609c1/ENCFF284XWH.bigWig	ENCODE4 v1.1.5 GRCh38	released			
ENCFF600AAH	bigBed bed9+	bigBed	bed9+	methylation state at CpG	GRCh38	ENCSR305VIT	WGBS	/human-donors/ENCDO793LXB/	UBERON:0000992	ovary	tissue	Homo sapiens											DNA						2017-12-04	ENCODE				1	1_1							/files/ENCFF716SXG/, /files/ENCFF792NJK/	1292870164	ENCODE Processing Pipeline	ee263ac434adcec078bdb30070f6ceaa		https://www.encodeproject.org/files/ENCFF600AAH/@@download/ENCFF600AAH.bigBed				released	s3://encode-public/2021/03/03/91378b6f-aa3a-4d6e-950f-e433710e8114/ENCFF600AAH.bigBed	ENCODE4 v1.1.5 GRCh38	released			
ENCFF786VCE	bigWig	bigWig		plus strand methylation state at CpG	GRCh38	ENCSR779PPR	WGBS	/human-donors/ENCDO451RUA/	UBERON:0002367	prostate gland	tissue	Homo sapiens											DNA						2018-01-18	ENCODE				1	1_1							/files/ENCFF792NJK/, /files/ENCFF864BMQ/	2084434783	ENCODE Processing Pipeline	52a3702309a925b7e2c588e6f25a5397		https://www.encodeproject.org/files/ENCFF786VCE/@@download/ENCFF786VCE.bigWig				released	s3://encode-public/2021/03/01/3e94693e-4123-48a6-96d7-da039555afdb/ENCFF786VCE.bigWig	ENCODE4 v1.1.5 GRCh38	released			
ENCFF327RYT	bigBed bed9+	bigBed	bed9+	methylation state at CpG	GRCh38	ENCSR779PPR	WGBS	/human-donors/ENCDO451RUA/	UBERON:0002367	prostate gland	tissue	Homo sapiens											DNA						2018-01-18	ENCODE				1	1_1							/files/ENCFF537YTL/, /files/ENCFF792NJK/	1268365821	ENCODE Processing Pipeline	62a5381aa3132a286dbe7adf682ec65c		https://www.encodeproject.org/files/ENCFF327RYT/@@download/ENCFF327RYT.bigBed				released	s3://encode-public/2021/03/01/c3c50b0f-8d0e-4e82-9630-84b7c84f5e7e/ENCFF327RYT.bigBed	ENCODE4 v1.1.5 GRCh38	released			
ENCFF537YTL	bed bed9+	bed	bed9+	methylation state at CpG	GRCh38	ENCSR779PPR	WGBS	/human-donors/ENCDO451RUA/	UBERON:0002367	prostate gland	tissue	Homo sapiens											DNA						2018-01-18	ENCODE				1	1_1							/files/ENCFF792NJK/, /files/ENCFF864BMQ/	705887678	ENCODE Processing Pipeline	e62eea374a4a3a98d1e1f7dd3094be30		https://www.encodeproject.org/files/ENCFF537YTL/@@download/ENCFF537YTL.bed.gz				released	s3://encode-public/2021/03/01/31598355-1546-465f-9d9d-a084bb6635f7/ENCFF537YTL.bed.gz	ENCODE4 v1.1.5 GRCh38	released			
ENCFF482VEB	bigWig	bigWig		minus strand methylation state at CpG	GRCh38	ENCSR779PPR	WGBS	/human-donors/ENCDO451RUA/	UBERON:0002367	prostate gland	tissue	Homo sapiens											DNA						2018-01-18	ENCODE				1	1_1							/files/ENCFF792NJK/, /files/ENCFF864BMQ/	2103924068	ENCODE Processing Pipeline	d83862128ebdda33c94498316c69be2c		https://www.encodeproject.org/files/ENCFF482VEB/@@download/ENCFF482VEB.bigWig				released	s3://encode-public/2021/03/01/603078f4-bbcd-4e66-9432-3156e88a86ec/ENCFF482VEB.bigWig	ENCODE4 v1.1.5 GRCh38	released			
ENCFF190IRZ	bigWig	bigWig		plus strand methylation state at CpG	GRCh38	ENCSR930WUY	WGBS	/human-donors/ENCDO271OUW/	UBERON:0004264	lower leg skin	tissue	Homo sapiens											DNA						2018-01-22	ENCODE				1	1_1							/files/ENCFF510DHU/, /files/ENCFF792NJK/	2075943919	ENCODE Processing Pipeline	4a90e679eb6dce95ee990696538cffad		https://www.encodeproject.org/files/ENCFF190IRZ/@@download/ENCFF190IRZ.bigWig				released	s3://encode-public/2021/03/01/98b978cd-5897-4282-87db-089ff6d45fec/ENCFF190IRZ.bigWig	ENCODE4 v1.1.5 GRCh38	released			
ENCFF978LIV	bed bed9+	bed	bed9+	methylation state at CpG	GRCh38	ENCSR930WUY	WGBS	/human-donors/ENCDO271OUW/	UBERON:0004264	lower leg skin	tissue	Homo sapiens											DNA						2018-01-22	ENCODE				1	1_1							/files/ENCFF510DHU/, /files/ENCFF792NJK/	702482583	ENCODE Processing Pipeline	c22fd007915153ea6ad4198381de0daa		https://www.encodeproject.org/files/ENCFF978LIV/@@download/ENCFF978LIV.bed.gz				released	s3://encode-public/2021/03/01/e6c9905c-4b57-4043-997e-0e235b857232/ENCFF978LIV.bed.gz	ENCODE4 v1.1.5 GRCh38	released			
ENCFF362EJP	bigBed bed9+	bigBed	bed9+	methylation state at CpG	GRCh38	ENCSR930WUY	WGBS	/human-donors/ENCDO271OUW/	UBERON:0004264	lower leg skin	tissue	Homo sapiens											DNA						2018-01-22	ENCODE				1	1_1							/files/ENCFF978LIV/, /files/ENCFF792NJK/	1261996791	ENCODE Processing Pipeline	692ab282d65722ae2e3a229e06029228		https://www.encodeproject.org/files/ENCFF362EJP/@@download/ENCFF362EJP.bigBed				released	s3://encode-public/2021/03/01/be2c37ee-a6e4-4c56-a810-6b8dfa902c5e/ENCFF362EJP.bigBed	ENCODE4 v1.1.5 GRCh38	released			
ENCFF550TWF	bigWig	bigWig		minus strand methylation state at CpG	GRCh38	ENCSR930WUY	WGBS	/human-donors/ENCDO271OUW/	UBERON:0004264	lower leg skin	tissue	Homo sapiens											DNA						2018-01-22	ENCODE				1	1_1							/files/ENCFF510DHU/, /files/ENCFF792NJK/	2087934441	ENCODE Processing Pipeline	5e16681e03a114ce31a5507572dd5fcd		https://www.encodeproject.org/files/ENCFF550TWF/@@download/ENCFF550TWF.bigWig				released	s3://encode-public/2021/03/01/074a5585-e7c0-4770-a85d-7919abcc0c0b/ENCFF550TWF.bigWig	ENCODE4 v1.1.5 GRCh38	released			
ENCFF049UAN	bigWig	bigWig		plus strand methylation state at CpG	GRCh38	ENCSR128RMY	WGBS	/human-donors/ENCDO845WKR/	UBERON:0004264	lower leg skin	tissue	Homo sapiens											DNA						2018-01-22	ENCODE				1	1_1							/files/ENCFF955RLG/, /files/ENCFF792NJK/	2129371961	ENCODE Processing Pipeline	649827b4ffc4fe94912f3914f8257382		https://www.encodeproject.org/files/ENCFF049UAN/@@download/ENCFF049UAN.bigWig				released	s3://encode-public/2021/03/01/d7f8a91d-8278-4085-b959-faef0a1e5e3f/ENCFF049UAN.bigWig	ENCODE4 v1.1.5 GRCh38	released			
ENCFF553TBM	bigBed bed9+	bigBed	bed9+	methylation state at CpG	GRCh38	ENCSR128RMY	WGBS	/human-donors/ENCDO845WKR/	UBERON:0004264	lower leg skin	tissue	Homo sapiens											DNA						2018-01-22	ENCODE				1	1_1							/files/ENCFF520YPF/, /files/ENCFF792NJK/	1267574605	ENCODE Processing Pipeline	645155afbbb7d662ad6b93c901474b98		https://www.encodeproject.org/files/ENCFF553TBM/@@download/ENCFF553TBM.bigBed				released	s3://encode-public/2021/03/01/83d339b3-9313-4621-8e95-992ae45400bd/ENCFF553TBM.bigBed	ENCODE4 v1.1.5 GRCh38	released			
ENCFF520YPF	bed bed9+	bed	bed9+	methylation state at CpG	GRCh38	ENCSR128RMY	WGBS	/human-donors/ENCDO845WKR/	UBERON:0004264	lower leg skin	tissue	Homo sapiens											DNA						2018-01-22	ENCODE				1	1_1							/files/ENCFF955RLG/, /files/ENCFF792NJK/	708100907	ENCODE Processing Pipeline	5f972ec2586124e568728f708f7f3657		https://www.encodeproject.org/files/ENCFF520YPF/@@download/ENCFF520YPF.bed.gz				released	s3://encode-public/2021/03/01/4a33317c-d939-4770-aa95-c8265328d99e/ENCFF520YPF.bed.gz	ENCODE4 v1.1.5 GRCh38	released			
ENCFF777SRT	bigWig	bigWig		minus strand methylation state at CpG	GRCh38	ENCSR128RMY	WGBS	/human-donors/ENCDO845WKR/	UBERON:0004264	lower leg skin	tissue	Homo sapiens											DNA						2018-01-22	ENCODE				1	1_1							/files/ENCFF955RLG/, /files/ENCFF792NJK/	2142220235	ENCODE Processing Pipeline	9162225e461573aac1149b11939c4d38		https://www.encodeproject.org/files/ENCFF777SRT/@@download/ENCFF777SRT.bigWig				released	s3://encode-public/2021/03/01/e1782f5f-4aa7-4dc0-a5f3-c5fd5e24f9b2/ENCFF777SRT.bigWig	ENCODE4 v1.1.5 GRCh38	released			
ENCFF381RCW	bigWig	bigWig		plus strand methylation state at CpG	GRCh38	ENCSR750CPN	WGBS	/human-donors/ENCDO271OUW/	UBERON:0002106	spleen	tissue	Homo sapiens											DNA						2018-01-22	ENCODE				1	1_1							/files/ENCFF792NJK/, /files/ENCFF104TRI/	2116136999	ENCODE Processing Pipeline	c9306f3d2342daad97d2ae7974abfa1d		https://www.encodeproject.org/files/ENCFF381RCW/@@download/ENCFF381RCW.bigWig				released	s3://encode-public/2021/03/01/6529116f-ce41-4b44-aa12-8c0be794b3b4/ENCFF381RCW.bigWig	ENCODE4 v1.1.5 GRCh38	released			
ENCFF930ZRN	bigBed bed9+	bigBed	bed9+	methylation state at CpG	GRCh38	ENCSR750CPN	WGBS	/human-donors/ENCDO271OUW/	UBERON:0002106	spleen	tissue	Homo sapiens											DNA						2018-01-22	ENCODE				1	1_1							/files/ENCFF792NJK/, /files/ENCFF509SPS/	1262769054	ENCODE Processing Pipeline	38c913815ae1b5060f1f05d5766a8314		https://www.encodeproject.org/files/ENCFF930ZRN/@@download/ENCFF930ZRN.bigBed				released	s3://encode-public/2021/03/01/e16e8ff1-438f-4a63-a90e-7d35fc613b0d/ENCFF930ZRN.bigBed	ENCODE4 v1.1.5 GRCh38	released			
ENCFF509SPS	bed bed9+	bed	bed9+	methylation state at CpG	GRCh38	ENCSR750CPN	WGBS	/human-donors/ENCDO271OUW/	UBERON:0002106	spleen	tissue	Homo sapiens											DNA						2018-01-22	ENCODE				1	1_1							/files/ENCFF792NJK/, /files/ENCFF104TRI/	707394068	ENCODE Processing Pipeline	4de5fbff0b919e169d836fa1ba174b95		https://www.encodeproject.org/files/ENCFF509SPS/@@download/ENCFF509SPS.bed.gz				released	s3://encode-public/2021/03/01/c442c905-3308-4be2-911f-318485dc92df/ENCFF509SPS.bed.gz	ENCODE4 v1.1.5 GRCh38	released			
ENCFF566DJL	bigWig	bigWig		minus strand methylation state at CpG	GRCh38	ENCSR750CPN	WGBS	/human-donors/ENCDO271OUW/	UBERON:0002106	spleen	tissue	Homo sapiens											DNA						2018-01-22	ENCODE				1	1_1							/files/ENCFF792NJK/, /files/ENCFF104TRI/	2130841622	ENCODE Processing Pipeline	b5ca6303210d8cb3e7bea5f694da4b8d		https://www.encodeproject.org/files/ENCFF566DJL/@@download/ENCFF566DJL.bigWig				released	s3://encode-public/2021/03/01/c6db8cad-8a18-4683-9269-0eb55c661016/ENCFF566DJL.bigWig	ENCODE4 v1.1.5 GRCh38	released			
ENCFF238STM	bed bed9+	bed	bed9+	methylation state at CpG	GRCh38	ENCSR403DTW	WGBS	/human-donors/ENCDO845WKR/	UBERON:0002046	thyroid gland	tissue	Homo sapiens											DNA						2017-12-04	ENCODE				1	1_1							/files/ENCFF792NJK/, /files/ENCFF307KJG/	708720719	ENCODE Processing Pipeline	8b9cb205b0691d009dd0ac64b447fa9d		https://www.encodeproject.org/files/ENCFF238STM/@@download/ENCFF238STM.bed.gz				released	s3://encode-public/2021/03/09/7370d042-21de-4357-8dd1-dd31036775cf/ENCFF238STM.bed.gz	ENCODE4 v1.1.5 GRCh38	released			
ENCFF130VHM	bigWig	bigWig		plus strand methylation state at CpG	GRCh38	ENCSR403DTW	WGBS	/human-donors/ENCDO845WKR/	UBERON:0002046	thyroid gland	tissue	Homo sapiens											DNA						2017-12-04	ENCODE				1	1_1							/files/ENCFF792NJK/, /files/ENCFF307KJG/	2178002867	ENCODE Processing Pipeline	8cc88ce5741728306e8c7b5cbeff6362		https://www.encodeproject.org/files/ENCFF130VHM/@@download/ENCFF130VHM.bigWig				released	s3://encode-public/2021/03/09/5519db51-ff50-4c39-a855-6c23d39bc9cf/ENCFF130VHM.bigWig	ENCODE4 v1.1.5 GRCh38	released			
ENCFF902UFM	bigWig	bigWig		minus strand methylation state at CpG	GRCh38	ENCSR403DTW	WGBS	/human-donors/ENCDO845WKR/	UBERON:0002046	thyroid gland	tissue	Homo sapiens											DNA						2017-12-04	ENCODE				1	1_1							/files/ENCFF792NJK/, /files/ENCFF307KJG/	2198169031	ENCODE Processing Pipeline	90938df88fa2f8952371af98fe64f94b		https://www.encodeproject.org/files/ENCFF902UFM/@@download/ENCFF902UFM.bigWig				released	s3://encode-public/2021/03/09/1b4b7d45-f6b2-4251-b04f-f45633e63c08/ENCFF902UFM.bigWig	ENCODE4 v1.1.5 GRCh38	released			
ENCFF173DCF	bigBed bed9+	bigBed	bed9+	methylation state at CpG	GRCh38	ENCSR403DTW	WGBS	/human-donors/ENCDO845WKR/	UBERON:0002046	thyroid gland	tissue	Homo sapiens											DNA						2017-12-04	ENCODE				1	1_1							/files/ENCFF792NJK/, /files/ENCFF238STM/	1262624497	ENCODE Processing Pipeline	77d65e311c057e2114dff0152b5599c4		https://www.encodeproject.org/files/ENCFF173DCF/@@download/ENCFF173DCF.bigBed				released	s3://encode-public/2021/03/09/eb342f35-8708-4411-86fc-49bfe133c87f/ENCFF173DCF.bigBed	ENCODE4 v1.1.5 GRCh38	released			
ENCFF029CYZ	bigBed bed9+	bigBed	bed9+	methylation state at CpG	GRCh38	ENCSR042LOG	WGBS	/human-donors/ENCDO451RUA/	UBERON:0002369	adrenal gland	tissue	Homo sapiens											DNA						2017-12-04	ENCODE				1	1_1							/files/ENCFF603FFT/, /files/ENCFF792NJK/	1230991712	ENCODE Processing Pipeline	76fd3b995701efb6797d415aa88467ab		https://www.encodeproject.org/files/ENCFF029CYZ/@@download/ENCFF029CYZ.bigBed				released	s3://encode-public/2021/03/09/75cb9003-bb20-4c07-9a51-421e35dd8ced/ENCFF029CYZ.bigBed	ENCODE4 v1.1.5 GRCh38	released			
ENCFF048GAT	bigWig	bigWig		plus strand methylation state at CpG	GRCh38	ENCSR042LOG	WGBS	/human-donors/ENCDO451RUA/	UBERON:0002369	adrenal gland	tissue	Homo sapiens											DNA						2017-12-04	ENCODE				1	1_1							/files/ENCFF724VQA/, /files/ENCFF792NJK/	2040731078	ENCODE Processing Pipeline	5b60a53985ec6b6850f10eb9d64e4b24		https://www.encodeproject.org/files/ENCFF048GAT/@@download/ENCFF048GAT.bigWig				released	s3://encode-public/2021/03/09/4705166c-2f13-4f4f-ad6a-190154134bef/ENCFF048GAT.bigWig	ENCODE4 v1.1.5 GRCh38	released			
ENCFF277PSX	bigWig	bigWig		minus strand methylation state at CpG	GRCh38	ENCSR042LOG	WGBS	/human-donors/ENCDO451RUA/	UBERON:0002369	adrenal gland	tissue	Homo sapiens											DNA						2017-12-04	ENCODE				1	1_1							/files/ENCFF724VQA/, /files/ENCFF792NJK/	2064596368	ENCODE Processing Pipeline	3e67458c2ac515c57dc378fd8c4d2b59		https://www.encodeproject.org/files/ENCFF277PSX/@@download/ENCFF277PSX.bigWig				released	s3://encode-public/2021/03/09/6228ed9d-18d8-4497-bfb1-ca5bcbbfb2cd/ENCFF277PSX.bigWig	ENCODE4 v1.1.5 GRCh38	released			
ENCFF603FFT	bed bed9+	bed	bed9+	methylation state at CpG	GRCh38	ENCSR042LOG	WGBS	/human-donors/ENCDO451RUA/	UBERON:0002369	adrenal gland	tissue	Homo sapiens											DNA						2017-12-04	ENCODE				1	1_1							/files/ENCFF724VQA/, /files/ENCFF792NJK/	676232336	ENCODE Processing Pipeline	d1322678e3392420b0148de011167d86		https://www.encodeproject.org/files/ENCFF603FFT/@@download/ENCFF603FFT.bed.gz				released	s3://encode-public/2021/03/09/a67fad7c-c410-4598-97cf-3a8c2d6cba01/ENCFF603FFT.bed.gz	ENCODE4 v1.1.5 GRCh38	released			
ENCFF317EUP	bigWig	bigWig		minus strand methylation state at CpG	GRCh38	ENCSR668FTZ	WGBS	/human-donors/ENCDO793LXB/	UBERON:0001157	transverse colon	tissue	Homo sapiens											DNA						2018-12-22	ENCODE				1	1_1							/files/ENCFF548GME/, /files/ENCFF792NJK/	2131029183	ENCODE Processing Pipeline	129c7d0181905cc1f95656b4a64792ef		https://www.encodeproject.org/files/ENCFF317EUP/@@download/ENCFF317EUP.bigWig				released	s3://encode-public/2021/03/03/40cdb84a-30bd-4745-840c-f6fdf5a2e97d/ENCFF317EUP.bigWig	ENCODE4 v1.1.5 GRCh38	released			
