chrom	start	end	CD8TIL-CD4bluourPBL	CD8TIL-CD8bluourPBL	CD8TIL-nB	CD8TIL-NK	CD8TIL-MnbluourPBL	CD8TIL-iDC	CD8TIL-mDC	CD8TIL-mNeu	CD8TIL-cB	CD8TIL-MEL_TUMOR	DMRchrom	DMRstart	DMRend	q	diff	#cpg	p(MWU)	p(2dks)	CD8TIL	others
chr17	3801161	3801163	-0.6207333333333334	-0.4477333333333333	-0.6603333333333332	-0.3116666666666666	-0.17953333333333332	0.10700000000000008	0.07500000000000001	0.12566666666666665	-0.6050000000000002	-0.5900000000000001	chr17	3800170	3801629	3.7082e-23	-0.35020100000000004	28	4.5963e-14	3.7082e-23	0.41735	0.76755
chr17	3801176	3801178	-0.5267999999999999	-0.2587999999999999	-0.6309999999999999	-0.115	0.02460000000000001	0.27033333333333337	0.2596666666666667	0.22733333333333336	-0.6403333333333332	-0.4943333333333333	chr17	3800170	3801629	3.7082e-23	-0.35020100000000004	28	4.5963e-14	3.7082e-23	0.41735	0.76755
chr17	3801181	3801183	-0.6283999999999998	-0.4186	-0.7323333333333334	-0.29566666666666663	-0.1458000000000001	0.2403333333333333	0.2286666666666667	0.185	-0.6796666666666668	-0.642	chr17	3800170	3801629	3.7082e-23	-0.35020100000000004	28	4.5963e-14	3.7082e-23	0.41735	0.76755
chr17	3801199	3801201	-0.5777333333333333	-0.3743333333333333	-0.7096666666666667	-0.22033333333333333	-0.03293333333333333	0.22866666666666666	0.19733333333333333	0.22466666666666665	-0.5743333333333333	-0.5286666666666667	chr17	3800170	3801629	3.7082e-23	-0.35020100000000004	28	4.5963e-14	3.7082e-23	0.41735	0.76755
chr17	3801240	3801242	-0.6760666666666667	-0.42046666666666666	-0.679	-0.3443333333333334	-0.2856666666666666	0.0013333333333332975	0.16233333333333333	0.09166666666666663	-0.6603333333333334	-0.6016666666666667	chr17	3800170	3801629	3.7082e-23	-0.35020100000000004	28	4.5963e-14	3.7082e-23	0.41735	0.76755
chr17	3801279	3801281	-0.5243333333333333	-0.3407333333333333	-0.6210000000000001	-0.13233333333333336	-0.01213333333333333	0.262	0.231	0.2746666666666667	-0.6063333333333334	-0.5526666666666666	chr17	3800170	3801629	3.7082e-23	-0.35020100000000004	28	4.5963e-14	3.7082e-23	0.41735	0.76755
chr17	3801307	3801309	-0.6546	-0.4925999999999999	-0.6913333333333331	-0.241	-0.2756	0.0013333333333332975	-0.003999999999999948	0.2230000000000001	-0.6856666666666668	-0.7023333333333331	chr17	3800170	3801629	3.7082e-23	-0.35020100000000004	28	4.5963e-14	3.7082e-23	0.41735	0.76755
chr17	3801312	3801314	-0.5374	-0.3598000000000001	-0.5776666666666667	-0.08466666666666668	-0.035400000000000036	0.21100000000000002	0.19399999999999998	0.3163333333333333	-0.5016666666666666	-0.5556666666666669	chr17	3800170	3801629	3.7082e-23	-0.35020100000000004	28	4.5963e-14	3.7082e-23	0.41735	0.76755
chr17	3801326	3801328	-0.5760000000000001	-0.3476	-0.6263333333333334	-0.19700000000000006	-0.02939999999999998	0.177	0.17933333333333334	0.2743333333333333	-0.5786666666666667	-0.526	chr17	3800170	3801629	3.7082e-23	-0.35020100000000004	28	4.5963e-14	3.7082e-23	0.41735	0.76755
chr17	3801493	3801495	-0.5819333333333332	-0.5447333333333333	-0.6003333333333332	-0.4596666666666666	-0.5189333333333332	-0.4406666666666665	-0.4993333333333334	-0.3563333333333333	-0.5263333333333333	-0.213	chr17	3800170	3801629	3.7082e-23	-0.35020100000000004	28	4.5963e-14	3.7082e-23	0.41735	0.76755
chr17	3801509	3801511	-0.5238666666666667	-0.4652666666666665	-0.5479999999999998	-0.4770000000000001	-0.4826666666666667	-0.5053333333333333	-0.5406666666666665	-0.4109999999999999	-0.4690000000000001	-0.2273333333333334	chr17	3800170	3801629	3.7082e-23	-0.35020100000000004	28	4.5963e-14	3.7082e-23	0.41735	0.76755
chr17	3801513	3801515	-0.35493333333333343	-0.3431333333333334	-0.35100000000000003	-0.33233333333333337	-0.3283333333333335	-0.33766666666666656	-0.3163333333333335	-0.29633333333333345	-0.3580000000000002	-0.30333333333333345	chr17	3800170	3801629	3.7082e-23	-0.35020100000000004	28	4.5963e-14	3.7082e-23	0.41735	0.76755
chr17	3801531	3801533	-0.3626666666666667	-0.3374666666666667	-0.3893333333333335	-0.3709999999999999	-0.3610666666666668	-0.362	-0.3520000000000001	-0.2956666666666669	-0.3443333333333335	-0.33799999999999997	chr17	3800170	3801629	3.7082e-23	-0.35020100000000004	28	4.5963e-14	3.7082e-23	0.41735	0.76755
chr17	3801597	3801599	-0.38526666666666665	-0.2818666666666665	-0.4849999999999998	-0.4196666666666666	-0.2776666666666666	-0.35066666666666657	-0.3026666666666665	0.2323333333333334	-0.3849999999999999	-0.04366666666666652	chr17	3800170	3801629	3.7082e-23	-0.35020100000000004	28	4.5963e-14	3.7082e-23	0.41735	0.76755
chr17	3801627	3801629	-0.28166666666666673	-0.2610666666666667	-0.30333333333333345	-0.31766666666666665	-0.20246666666666668	-0.16333333333333333	-0.1373333333333333	0.21566666666666665	-0.29833333333333345	-0.15100000000000002	chr17	3800170	3801629	3.7082e-23	-0.35020100000000004	28	4.5963e-14	3.7082e-23	0.41735	0.76755
chr8	664478	664480	-0.5418666666666667	-0.4610666666666668	-0.7376666666666667	-0.7386666666666666	-0.7308666666666668	-0.7083333333333335	-0.7226666666666668	-0.6940000000000001	-0.2843333333333333	-0.4910000000000001	chr8	664479	665977	2.8389e-36	-0.621422	31	3.9745999999999995e-14	1.6178e-41	0.27335	0.8947799999999999
chr8	664752	664754	-0.22333333346666664	-0.19786666666666666	-0.31499999999999995	-0.3373333333333334	-0.1700666666666666	-0.12133333333333315	-0.17433333333333345	-0.2266666666666665	-0.2506666666666666	-0.2623333333333332	chr8	664479	665977	2.8389e-36	-0.621422	31	3.9745999999999995e-14	1.6178e-41	0.27335	0.8947799999999999
chr8	665017	665019	-0.6805333333333333	-0.4743333333333334	-0.8056666666666665	-0.8223333333333334	-0.8091333333333334	-0.8193333333333335	-0.7270000000000001	-0.7643333333333334	-0.6093333333333334	-0.7286666666666667	chr8	664479	665977	2.8389e-36	-0.621422	31	3.9745999999999995e-14	1.6178e-41	0.27335	0.8947799999999999
chr8	665083	665085	-0.6792	-0.4768	-0.7803333333333333	-0.611	-0.7584	-0.8046666666666669	-0.7486666666666666	-0.7893333333333332	-0.5896666666666666	-0.7543333333333333	chr8	664479	665977	2.8389e-36	-0.621422	31	3.9745999999999995e-14	1.6178e-41	0.27335	0.8947799999999999
chr8	665118	665120	-0.7291333333333332	-0.5463333333333333	-0.79	-0.6886666666666668	-0.7851333333333332	-0.8140000000000001	-0.7916666666666667	-0.7570000000000001	-0.657	-0.7806666666666666	chr8	664479	665977	2.8389e-36	-0.621422	31	3.9745999999999995e-14	1.6178e-41	0.27335	0.8947799999999999
chr8	665143	665145	-0.7149333333333334	-0.5501333333333334	-0.7880000000000001	-0.7183333333333334	-0.7859333333333334	-0.7923333333333333	-0.8393333333333334	-0.7729999999999998	-0.6943333333333334	-0.8136666666666668	chr8	664479	665977	2.8389e-36	-0.621422	31	3.9745999999999995e-14	1.6178e-41	0.27335	0.8947799999999999
chr8	665146	665148	-0.7088	-0.4944	-0.7756666666666664	-0.6176666666666666	-0.7742	-0.8320000000000001	-0.8270000000000001	-0.8049999999999999	-0.6456666666666666	-0.7993333333333332	chr8	664479	665977	2.8389e-36	-0.621422	31	3.9745999999999995e-14	1.6178e-41	0.27335	0.8947799999999999
chr8	665174	665176	-0.7427999999999999	-0.5651999999999999	-0.7823333333333333	-0.7416666666666668	-0.7666	-0.8069999999999999	-0.815	-0.7919999999999999	-0.7240000000000001	-0.7813333333333333	chr8	664479	665977	2.8389e-36	-0.621422	31	3.9745999999999995e-14	1.6178e-41	0.27335	0.8947799999999999
chr8	665176	665178	-0.7404999999999999	-0.5796	-0.8013333333333331	-0.774	-0.8118	-0.7959999999999999	-0.8203333333333334	-0.8166666666666668	-0.7120000000000001	-0.8093333333333331	chr8	664479	665977	2.8389e-36	-0.621422	31	3.9745999999999995e-14	1.6178e-41	0.27335	0.8947799999999999
chr8	665188	665190	-0.7796000000000001	-0.6302000000000001	-0.8673333333333332	-0.7896666666666667	-0.8386	-0.8313333333333334	-0.8273333333333333	-0.8416666666666668	-0.7220000000000001	-0.8420000000000001	chr8	664479	665977	2.8389e-36	-0.621422	31	3.9745999999999995e-14	1.6178e-41	0.27335	0.8947799999999999
chr8	665223	665225	-0.7909999999999999	-0.5910000000000001	-0.855	-0.741	-0.8424	-0.84	-0.8473333333333334	-0.8333333333333334	-0.6569999999999999	-0.7859999999999999	chr8	664479	665977	2.8389e-36	-0.621422	31	3.9745999999999995e-14	1.6178e-41	0.27335	0.8947799999999999
chr8	665240	665242	-0.7774	-0.5728	-0.8203333333333331	-0.773	-0.8184	-0.8036666666666668	-0.8116666666666665	-0.8286666666666666	-0.6973333333333332	-0.8073333333333331	chr8	664479	665977	2.8389e-36	-0.621422	31	3.9745999999999995e-14	1.6178e-41	0.27335	0.8947799999999999
chr8	665263	665265	-0.7252666666666667	-0.6020666666666666	-0.7330000000000001	-0.7116666666666667	-0.7502666666666667	-0.7433333333333333	-0.7576666666666667	-0.7129999999999999	-0.6113333333333334	-0.6913333333333335	chr8	664479	665977	2.8389e-36	-0.621422	31	3.9745999999999995e-14	1.6178e-41	0.27335	0.8947799999999999
chr8	665269	665271	-0.6555333333333333	-0.5683333333333332	-0.67	-0.6756666666666666	-0.7075333333333332	-0.6866666666666664	-0.6976666666666667	-0.6970000000000001	-0.6296666666666665	-0.7040000000000001	chr8	664479	665977	2.8389e-36	-0.621422	31	3.9745999999999995e-14	1.6178e-41	0.27335	0.8947799999999999
chr8	665292	665294	-0.4923333333333332	-0.4859333333333333	-0.518	-0.5326666666666664	-0.5205333333333333	-0.5289999999999999	-0.5276666666666667	-0.5236666666666665	-0.48100000000000004	-0.4706666666666665	chr8	664479	665977	2.8389e-36	-0.621422	31	3.9745999999999995e-14	1.6178e-41	0.27335	0.8947799999999999
chr8	665311	665313	-0.389	-0.3422000000000001	-0.3883333333333332	-0.389	-0.3704000000000001	-0.3763333333333332	-0.3943333333333334	-0.389	-0.355	-0.31666666666666665	chr8	664479	665977	2.8389e-36	-0.621422	31	3.9745999999999995e-14	1.6178e-41	0.27335	0.8947799999999999
chr8	665314	665316	-0.5389333333333334	-0.4753333333333333	-0.5299999999999999	-0.4700000000000002	-0.5301333333333333	-0.5219999999999999	-0.5206666666666665	-0.5040000000000001	-0.4733333333333334	-0.379	chr8	664479	665977	2.8389e-36	-0.621422	31	3.9745999999999995e-14	1.6178e-41	0.27335	0.8947799999999999
chr8	665329	665331	-0.6437333333333333	-0.5531333333333335	-0.6910000000000001	-0.6296666666666666	-0.7241333333333333	-0.7123333333333333	-0.6786666666666668	-0.6773333333333333	-0.5813333333333335	-0.4796666666666666	chr8	664479	665977	2.8389e-36	-0.621422	31	3.9745999999999995e-14	1.6178e-41	0.27335	0.8947799999999999
chr8	665342	665344	-0.6004666666666667	-0.5156666666666666	-0.6009999999999999	-0.5833333333333335	-0.6028666666666667	-0.6246666666666667	-0.6246666666666667	-0.5916666666666667	-0.5503333333333335	-0.3813333333333334	chr8	664479	665977	2.8389e-36	-0.621422	31	3.9745999999999995e-14	1.6178e-41	0.27335	0.8947799999999999
chr8	665350	665352	-0.6088666666666667	-0.5752666666666668	-0.6799999999999999	-0.6223333333333332	-0.6754666666666667	-0.6693333333333333	-0.667	-0.6633333333333336	-0.5876666666666668	-0.6186666666666667	chr8	664479	665977	2.8389e-36	-0.621422	31	3.9745999999999995e-14	1.6178e-41	0.27335	0.8947799999999999
chr8	665408	665410	-0.5637333333333333	-0.4463333333333333	-0.8216666666666667	-0.5456666666666667	-0.8313333333333333	-0.8393333333333333	-0.7953333333333333	-0.8093333333333333	-0.528	-0.6553333333333331	chr8	664479	665977	2.8389e-36	-0.621422	31	3.9745999999999995e-14	1.6178e-41	0.27335	0.8947799999999999
chr8	665521	665523	-0.6068666666666666	-0.5444666666666665	-0.7833333333333334	-0.578	-0.7902666666666665	-0.7509999999999999	-0.7176666666666667	-0.7946666666666666	-0.6361666666666665	-0.5790000000000001	chr8	664479	665977	2.8389e-36	-0.621422	31	3.9745999999999995e-14	1.6178e-41	0.27335	0.8947799999999999
chr8	665616	665618	-0.4648666666666666	-0.4504666666666667	-0.4709999999999999	-0.4276666666666668	-0.4500666666666667	-0.4789999999999999	-0.4663333333333335	-0.4916666666666667	-0.4600000000000001	-0.4380000000000001	chr8	664479	665977	2.8389e-36	-0.621422	31	3.9745999999999995e-14	1.6178e-41	0.27335	0.8947799999999999
chr8	665643	665645	-0.5555333333333332	-0.4947333333333332	-0.5979999999999999	-0.5919999999999999	-0.6413333333333333	-0.6396666666666666	-0.6043333333333332	-0.6483333333333332	-0.5819999999999999	-0.2973333333333333	chr8	664479	665977	2.8389e-36	-0.621422	31	3.9745999999999995e-14	1.6178e-41	0.27335	0.8947799999999999
chr8	665691	665693	-0.4085333333333334	-0.41313333333333335	-0.40400000000000014	-0.4276666666666665	-0.4461333333333334	-0.441	-0.3933333333333333	-0.4066666666666667	-0.3983333333333333	-0.3143333333333333	chr8	664479	665977	2.8389e-36	-0.621422	31	3.9745999999999995e-14	1.6178e-41	0.27335	0.8947799999999999
chr8	665714	665716	-0.2643333333333334	-0.32333333333333336	-0.33533333333333337	-0.30266666666666675	-0.3143333333333333	-0.2888333333333334	-0.2693333333333334	-0.3068333333333334	-0.3083333333333333	-0.33533333333333337	chr8	664479	665977	2.8389e-36	-0.621422	31	3.9745999999999995e-14	1.6178e-41	0.27335	0.8947799999999999
chr8	665742	665744	-0.6398666666666667	-0.6982666666666665	-0.8186666666666667	-0.8340000000000001	-0.7780666666666667	-0.8010000000000003	-0.7753333333333333	-0.7899999999999999	-0.6446666666666667	-0.696	chr8	664479	665977	2.8389e-36	-0.621422	31	3.9745999999999995e-14	1.6178e-41	0.27335	0.8947799999999999
chr8	665809	665811	-0.3829166666666667	-0.4738666666666667	-0.831	-0.6943333333333334	-0.8360666666666667	-0.8093333333333336	-0.833	-0.8029999999999999	-0.344	-0.833	chr8	664479	665977	2.8389e-36	-0.621422	31	3.9745999999999995e-14	1.6178e-41	0.27335	0.8947799999999999
chr8	665915	665917	-0.3711333333333333	-0.4515333333333333	-0.5940000000000001	-0.5526666666666666	-0.6041333333333334	-0.6056666666666668	-0.5423333333333333	-0.6110000000000002	-0.42	-0.6006666666666667	chr8	664479	665977	2.8389e-36	-0.621422	31	3.9745999999999995e-14	1.6178e-41	0.27335	0.8947799999999999
chr8	665942	665944	-0.4307333333333333	-0.5007333333333333	-0.8230000000000001	-0.7266666666666665	-0.8415333333333332	-0.8109999999999997	-0.7826666666666665	-0.8373333333333334	-0.3963333333333333	-0.8126666666666666	chr8	664479	665977	2.8389e-36	-0.621422	31	3.9745999999999995e-14	1.6178e-41	0.27335	0.8947799999999999
chr8	665975	665977	-0.5390666666666667	-0.6266666666666667	-0.8963333333333331	-0.8243333333333335	-0.8912666666666667	-0.912	-0.8876666666666667	-0.9233333333333336	-0.5471666666666667	-0.7010000000000001	chr8	664479	665977	2.8389e-36	-0.621422	31	3.9745999999999995e-14	1.6178e-41	0.27335	0.8947799999999999
