Mixture	NaiveCD4	NaiveCD8	nB	NK	PC	Mono	M0	M1	M2	iDC	mDC	PMN	cm8	em8	Eo	Tregs	em4	ed8	Mg	cm4	Er	mB	CD8TIL	NaiveCD4_real	NaiveCD8_real	nB_real	NK_real	Mono_real	M0_real	M1_real	M2_real	iDC_real	mDC_real	PMN_real	cm8_real	em8_real	Eo_real	Tregs_real	em4_real	ed8_real	Mg_real	cm4_real	Er_real	mB_real	CD8TIL_real
tot-YUMICRO_20-4006-cfDNA	3.22485271490815	3.54236876984023	2.99954555666168	2.51551224088799	0	5.1654128213215	6.48713042819585	6.96171971812503	5.03968834532642	4.66643310455624	5.25086201454305	6.67990381084407	4.91215830498421	4.98359823523205	3.77077027119291	3.54249951180921	5.41227805993135	2.91307300673503	7.60430639559123	4.69145910774285	4.94672578056532	2.31813650343951	2.37156529756611	3.328264537	3.491511629	3.306904165	2.86850895	4.253648764	5.836781966	5.787147384	4.643044368	4.217909242	4.755691292	7.827300729	4.874472823	4.863512087	4.368258664	3.700243529	5.294548203	3.189113004	8.359426337	4.619816717	5.500468716	2.522093441	2.391333454
tot-YUMOTE_17-3755-cfDNA	2.66573774005961	3.00308777161355	2.66292308492018	2.32486499289305	0	6.41702544532728	6.469926028873	6.62840314146996	3.88474330040771	4.3829365659576	3.98052200332773	8.51511879973557	4.31315767723945	4.33838498689116	4.16276994480017	3.34732902421627	4.73342549560677	2.72987479699339	9.37760554126956	4.07181303117672	7.15441967538628	2.20029278028248	2.63563817155251	2.728998928	2.936065496	2.912076372	2.629695745	5.241653912	5.774284095	5.465563121	3.550090881	3.929663498	3.576029311	9.897158239	4.24549785	4.199649597	4.783421752	3.468142258	4.59306237	2.964416759	10.22555337	3.977247614	7.891040389	2.374546244	2.636142196
tot-YUPRAF_19-3925-cfDNA	2.63080348030762	2.77157742610444	2.37754748018431	2.76438055514515	0	6.91455354574293	5.5933623339465	5.50940168383712	3.63336656029607	4.66249074284935	4.07049365941301	10.0616127571096	4.39625779369146	4.46852743415207	6.14067288810796	3.39199989012089	4.57686090212497	3.63974302853702	7.45530632154627	4.2475556809065	5.58738430179785	1.82234455340074	3.28375698067819	2.680527115	2.696935635	2.587731362	3.11208498	5.621401147	4.968412412	4.521434979	3.304701306	4.160581299	3.639602679	11.6394713	4.306875266	4.305219004	7.022925796	3.497841952	4.420184156	3.933807521	8.091074575	4.129331369	6.133583049	1.957386118	3.268886983
tot-YUREIL_17-3713-cfDNA	2.44487518729171	2.21359729927003	2.14050926999061	2.63586111325576	0	6.48975636155181	5.89016931952205	5.2616709843585	3.44351247957389	4.90644631011578	3.89582313914976	16.8083442341337	2.89590068338256	3.18596343249216	4.4491605193653	2.6532077330286	3.44004887104189	2.60122834362766	8.90882890302174	3.42369032411769	6.90738713863908	1.70900332487483	3.69501502819486	2.462410101	2.129188327	2.302920775	2.933242947	5.215317115	5.171831391	4.268422831	3.095968636	4.327877653	3.443325035	19.22040271	2.804366046	3.034195088	5.029815851	2.704503209	3.284045429	2.779026928	9.557256107	3.290084287	7.495341044	1.814516043	3.635942443
tot-YUSTRAW_20-4002-cfDNA	2.44029695493644	2.94871763083957	2.07394355169873	3.85501063384926	0	6.68482450865851	5.78203015088873	5.02950535374436	3.57499099608094	5.35849364151232	4.24222289639994	15.234634785132	3.02142132717935	3.65099261483777	5.41169825075858	2.62683456319114	3.65314524650378	3.76789625395313	7.15087714749316	3.22273290776858	4.69248232217911	1.669088191366	3.90816007102862	2.466554007	2.846380181	2.239252544	4.305220033	5.391214338	5.094964831	4.094616962	3.225626687	4.743456299	3.76284675	17.48291542	2.936341663	3.489457623	6.139766336	2.687158159	3.499900869	4.039777758	7.698678482	3.108000804	5.110042427	1.778449138	3.859378685
tot-YUTAUR_19-3926-cfDNA	2.74138749314863	2.87609111507242	2.75489311420473	2.52345497442609	0	5.3930416721386	5.48376939362934	4.69858741295827	3.45195908965783	5.27626431729061	4.41219473790567	13.7732936619638	4.4173889538498	4.05675747084152	3.7698304597185	3.18076571035639	4.45213431773797	2.88620622157245	9.13735491620638	3.66814764405486	6.0654310816694	2.23277002322986	2.74827621836683	2.771289095	2.776679893	2.974913571	2.818569751	4.35004569	4.832851787	3.825769248	3.115073124	4.671347574	3.914183433	15.80822363	4.293627781	3.877836314	4.277633223	3.254285433	4.265996714	3.094919451	9.838770145	3.538075296	6.606128053	2.379411806	2.71436899
tot-YUTHEA_20-4000-cfDNA	2.49662683928716	2.49301217790704	2.64132426621097	2.57492192386537	0	5.34895659704098	5.29272363314884	5.21781395493854	3.53370973600409	4.75738133676226	3.83847246500362	10.0016888520173	4.15471496042878	3.80939596192533	4.57260362511854	2.94254771335106	4.4159772953415	2.78329686113844	11.3670343093153	3.40109390938567	9.10487973222823	2.1863182841474	3.06550556543361	2.522323043	2.405377486	2.850539001	2.874305716	4.311861308	4.661644784	4.245958233	3.186905206	4.209391018	3.403146134	11.47239972	4.035855906	3.639168902	5.185384297	3.008729483	4.22877674	2.982752296	12.23216014	3.278495212	9.910491553	2.328491586	3.025842239
tot-YUVIRTUE_20-4029-cfDNA	2.48681743168567	2.59939073014492	2.25087110002755	2.89795553083799	0	5.95100868530058	5.4360188259089	5.42464781313905	3.56453419142556	4.85817546381987	3.77626316921458	7.43486408795848	3.71918894398373	3.75676764946606	4.89809106867481	3.29923156169485	3.84973435298094	2.89660345474271	12.7037167582037	3.79220976403805	9.3800427396871	1.74382750085113	3.28003917621373	2.521883968	2.517471328	2.438316158	3.247093063	4.815267505	4.805903404	4.430908693	3.22682329	4.314779704	3.360613341	8.560282355	3.626409016	3.602421752	5.575430067	3.3861528	3.700435282	3.115880753	13.72211058	3.669293128	10.24849102	1.864227602	3.249805193
Y-3674-cfDNA	2.59396493533354	2.28115125883786	2.27559715690535	2.96637741231569	0	6.28535584126676	5.50529994864439	4.76813874619343	2.92081396485995	5.22013014807912	4.45966977780376	17.4595575091295	3.00664339843872	2.76113002586353	4.5860554142885	2.28358991124029	3.55490667556174	2.88768514183996	8.54087439008544	2.6326012220329	6.51342346875527	1.66678632730241	4.83024732522188	2.605751765	2.188440747	2.441869867	3.292434669	5.037875682	4.821285093	3.85796141	2.619172101	4.592556455	3.931395516	19.91296959	2.904010667	2.622737473	5.171047856	2.321665303	3.384838844	3.077013235	9.138610954	2.52326507	7.049400158	1.76507467	4.740622876
Y-3685-cfDNA	2.4611278740398	3.02676131060441	2.28138805064533	3.09866067850862	0	5.70720892958552	6.10014727539321	5.30906539239674	3.5531083802995	5.41650022559246	4.23705593701603	13.0652345690673	2.87399319388675	3.01715946443072	4.87037040727072	2.97017816327074	3.19796425341938	3.1795584502838	10.165590076175	2.60816937053273	7.9111511375183	1.86935323171747	3.08025362834544	2.482454658	2.915661411	2.458128046	3.453369014	4.593244398	5.364143081	4.313256403	3.199239851	4.784870016	3.750476424	14.96229507	2.787277614	2.877692819	5.514161188	3.032090797	3.057465769	3.401923515	10.92166002	2.510104451	8.597273383	1.987708673	3.035503397
Y-3688-cfDNA	2.89834303172011	3.02791607443876	2.44506461748939	2.7383405332608	0	5.04008154714383	6.94220121490849	6.46977966507571	3.63769237006125	5.10014962202245	4.49883502690923	6.75882472267391	3.48872300142728	4.29121823340276	4.41651150326625	3.48189659941258	5.24580329298075	2.95037621139266	11.4178444768978	3.67792116387305	8.32626643122885	2.09637286141855	1.04983779899551	2.95989996	2.95313194	2.667324061	3.089843791	4.106893568	6.180695283	5.321778491	3.31622827	4.561570572	4.031831859	7.836683189	3.425634962	4.143877157	5.062638684	3.59878311	5.077852741	3.196062269	12.41996254	3.58375673	9.161180952	2.256887913	1.047481962
Y-3694-cfDNA	2.61123578478058	2.62315463906222	2.5356443359268	3.2760307943072	0	8.50708833845701	7.36038627591208	5.61773223859956	3.96970417920773	5.82472432529357	5.04587818857568	8.82373574190215	3.15905280183983	3.33802233089612	4.56553636610148	2.64080166786538	3.523908400941	2.99906886279213	9.59704311763484	3.20892368678022	6.60244607635039	1.89603380343748	2.27384804333654	2.681068213	2.572156788	2.781046851	3.716478043	6.969335219	6.588328862	4.645825201	3.638405667	5.237709214	4.54646271	10.28603804	3.118645462	3.240783624	5.261673562	2.744164338	3.42947182	3.266320518	10.4956209	3.143619843	7.303659996	2.052211252	2.280973883
Y-3703-cfDNA	2.94659498586272	2.31866672268733	2.15230258010898	2.90763770625125	0	5.2109190693957	6.07553052568539	5.37945777022519	3.95137569176161	4.465758804623	4.69444756087224	9.53348053251685	3.51686538728765	4.04664749211914	4.38927670779734	3.02440472657779	4.39447162751204	3.26248301582716	10.1598251711268	3.42702705594096	9.31858556683483	1.95878237512172	2.8654589238643	2.986636139	2.244460511	2.330362002	3.256296809	4.214294054	5.368574265	4.3917785	3.575208666	3.964253028	4.17562471	10.9710252	3.427401335	3.87843277	4.993731068	3.102518174	4.221914053	3.507686055	10.96874701	3.314272865	10.17620337	2.092966474	2.837612949
Y-3706-cfDNA	2.81551779070312	1.96235834514438	2.47156719570156	2.45319675442573	0	6.88900965666276	5.48957666929708	5.61556980930332	3.46553596234353	5.65949272543238	4.5004682941128	10.1999439572441	3.97884710000746	3.97798223520666	4.19487551266776	3.29587702247031	4.10787298081359	3.3123501178152	10.5310103683578	3.32531220687872	7.47999324446961	1.9037054495094	2.36993660143266	2.866083814	1.907746636	2.687578922	2.759210366	5.595463161	4.871720376	4.604309365	3.149141829	5.045594559	4.020345836	11.7886006	3.894352026	3.829062656	4.793138817	3.395581547	3.963587678	3.576658146	11.41851339	3.22977222	8.203623601	2.042888094	2.357026354
Y-3707-cfDNA	3.28623038586919	2.27060908599232	2.49416885658404	3.13852258383041	0	5.70908112598708	5.17395825525824	5.66909124565022	3.52829867482662	5.06517205924221	5.27684110650798	14.1927804796623	2.5371189331115	3.00522385775809	3.80874576378536	2.6662681402015	2.48336119416096	2.61552646973439	12.2928728927115	2.76669776044009	8.35871756269492	1.75359508261464	1.9071184833765	3.306627516	2.181932992	2.680842588	3.48926816	4.583551544	4.538612201	4.594526606	3.169157404	4.463604472	4.65946852	16.21394188	2.454570104	2.859322353	4.301694577	2.715211393	2.368470673	2.791624327	13.17496815	2.656182093	9.061515318	1.860076479	1.874830643
Y-3711-cfDNA	3.26011446827381	3.71624543667643	2.30765156786274	3.24544857983286	0	5.15222950780676	5.03645385298182	4.61060792120258	3.39755522275082	4.23141633077788	3.90980686982108	8.75187700971849	4.8174458293283	5.49145535035273	4.13359710617202	3.95885109083745	5.49904605050852	4.21997469976619	8.27915179394988	4.73346314964463	5.68566991500509	2.00101617059809	3.56092207613183	3.313444422	3.607140008	2.505389599	3.644545655	4.178213987	4.462565338	3.774375362	3.082510508	3.766490117	3.487203108	10.09908216	4.707724361	5.277561721	4.715690623	4.072194971	5.297549831	4.549537769	8.962756572	4.590232666	6.225903627	2.143935192	3.535952407
Y-3715-cfDNA	2.3834303787907	2.85807049057895	2.29194246803134	2.85917845053045	0	5.97392052476274	5.35472446772059	5.4023564122506	3.59821933463664	5.20486772606485	4.36499417378587	13.6939209744125	3.09073470886	2.88414914422746	4.90135157757365	2.90165514403308	3.20928539662438	2.51788525641415	9.08664347705509	3.25912262038796	7.67704856411836	1.82803322824874	4.65846548089189	2.406465907	2.755890438	2.471946962	3.189630135	4.81266154	4.713323612	4.393397826	3.243068155	4.602472189	3.867550628	15.69780457	3.000449474	2.753556426	5.554735936	2.965074395	3.071329672	2.696644916	9.772139228	3.139690226	8.351133771	1.945698491	4.595335499
Y-3720-cfDNA	3.26018805158317	3.21916166797127	2.51199450041009	2.53698649444908	0	5.46644756848283	5.08573092843584	4.8430775495157	3.10325642176617	4.28682781309516	4.00889828325708	9.3800003132096	4.95371216409864	4.81388387212348	3.59677956239332	4.16711624428423	5.56098907627286	3.48774339945061	9.56028304394865	4.82202257887688	6.38783525473326	2.27277515754935	2.67429005409277	3.312372051	3.123568375	2.726298081	2.847976729	4.431495205	4.50466736	3.963309046	2.814526376	3.814492215	3.574346027	10.82014725	4.839211172	4.624780151	4.101857807	4.284938877	5.355368438	3.758820371	10.34608698	4.674493468	6.992364781	2.434261035	2.654618208
Y-3735-cfDNA	2.40861223748837	2.08311190696698	2.29224409443307	2.86233200785668	0	5.61972218438469	6.31168429049549	6.00485681844521	3.42345720925428	5.70128547861779	3.54108917891824	10.4300786218788	2.84023833795694	2.46486398619736	4.29444177097236	2.60454840850871	2.98183722798282	2.55697571232171	13.5886992557843	2.64496070571636	10.8107225631471	1.98457405159391	2.54966395107877	2.430104514	2.007162037	2.47045598	3.190802265	4.523989067	5.551575091	4.879785984	3.083288532	5.037732285	3.135234462	11.9475678	2.75524482	2.351527414	4.863345251	2.659518728	2.851562198	2.736498742	14.60309348	2.546162665	11.75132116	2.11076355	2.513263979
Y-3737-cfDNA	2.31042654974251	2.34076174225478	2.28026596453732	2.25750023891925	0	5.97785257376674	5.66844602650012	5.1508067564766	3.2455615831994	5.3824445665099	3.56995093903832	18.7763233386072	3.14265594780243	3.30734059529094	4.84768451034705	2.80347940825251	3.64082055072513	2.36956473578107	8.590289759554	3.2009540024732	6.35529505580331	1.65911847427087	3.12245668014731	2.318749596	2.243523716	2.444586355	2.503290843	4.78691286	4.959507919	4.163676667	2.907654088	4.730918686	3.14411939	21.39469493	3.032535324	3.138626443	5.460926761	2.847551654	3.463393291	2.522556191	9.182869505	3.065137601	6.871812684	1.75530786	3.061647634
Y-3814-cfDNA	2.35445333554923	2.16879698462429	1.99838750764814	2.39818880384561	0	7.14231077125624	5.97351167632409	5.44626166994262	3.61472651755179	5.39557167696995	5.00597393302144	11.3718729929013	2.84568545247611	3.60661124481666	4.72992718869055	3.06596270780972	3.68084028017761	3.24620027671983	9.41452022003741	3.06074122840811	7.73132725956711	1.75838474338246	3.98974352827967	2.395654949	2.10748673	2.172061303	2.696120948	5.798578734	5.298790916	4.463471206	3.283226345	4.80812642	4.469900532	13.13711608	2.78399479	3.470024444	5.402054401	3.157283663	3.549948104	3.503644837	10.2033148	2.971458368	8.475437884	1.886089509	3.966215041
Y-3824-cfDNA	2.62794099174511	2.61366722706235	2.28512852754327	2.88716293604607	0	5.38748356876237	5.29317397563021	5.65414147181707	3.3276964406389	4.82530493660963	3.6721775318917	7.64543501096199	3.44098817538143	3.54031010649039	4.63374622061857	3.07192216345176	3.58355683201303	3.08903361193038	13.4420239202461	3.212451614272	10.7099712026567	1.69353125421356	3.36315228001737	2.655711729	2.522477981	2.466801183	3.22372834	4.344101037	4.663310984	4.602269519	3.001927675	4.270653333	3.25659752	8.772055714	3.343457817	3.383028451	5.256151644	3.141869087	3.432578448	3.311300102	14.4690128	3.097496148	11.66077821	1.804150454	3.320541819
Y-3879-cfDNA	2.30796034334617	2.64700693928436	2.49387030096749	3.20411966579584	0	5.46961012031391	5.83126244548561	5.46795332089691	3.62414890605806	5.16365411576683	4.50164264942366	12.8395070573314	3.30949314735367	2.78727408090638	4.49911852957694	2.7103600802462	3.40520917925553	2.68591098750612	10.8184914129424	2.82581862558319	8.66238393178349	1.74461398410929	3.00059017606652	2.326853047	2.548633944	2.685793824	3.569202286	4.399928521	5.125262216	4.440230009	3.26165369	4.559340115	3.982783756	14.69680129	3.20811144	2.657169833	5.091413481	2.765541384	3.254057795	2.872386098	11.61759502	2.718277278	9.4091838	1.854189754	2.955591416
Y-3880-cfDNA	2.32349597109523	2.56485863394061	2.80584465430237	3.0123622548711	0	5.85912378267397	5.84193537972558	4.37329966852101	3.32587624493511	5.47960985646542	5.44226420451582	13.2826745825313	3.40399015213848	3.96383989434111	4.12844323182468	3.80880560237143	3.87753554020054	3.04522155101104	9.76098094383911	3.5873623645285	7.2538104663748	2.02494252090744	0.83372249888534	2.346658486	2.47390586	3.027121014	3.36152995	4.72160092	5.143723357	3.55760117	2.998508278	4.846875207	4.823504463	15.23096281	3.305549062	3.785498637	4.680202059	3.893223442	3.711971273	3.262401798	10.50050888	3.456941832	7.893108637	2.155931115	0.822671757
Y-3893-cfDNA	3.18128270239615	2.56284523687806	2.50418593720992	2.87853972081474	0	6.21708828301038	5.33414334049592	5.53282085676498	3.97226125237989	5.79008654295952	3.4736302210638	8.49576717653356	3.84612388768558	3.80498871276821	5.01087572433396	3.22557368251903	4.65713754430906	3.03212637662028	9.45692121820163	4.43343685635296	7.38558309448983	1.96362233614819	3.24095929606437	3.240425079	2.493066546	2.724736356	3.239617738	5.052838201	4.736715385	4.539273855	3.61184184	5.165222197	3.1049771	9.825081936	3.766780691	3.664815507	5.729063973	3.325211266	4.496345115	3.276103436	10.26026095	4.308728264	8.105100774	2.10849171	3.225302081
Y-3918-cfDNA	3.50952859874238	3.03689507375277	2.81151312588084	2.55930367026415	0	5.78941852420812	6.18555252402756	5.93431607922312	4.23816138398316	5.2340868806783	4.65087616707055	10.6636385606729	3.65286830626559	3.62806770800245	5.07821367385111	3.37088441132135	5.09257084230344	3.29640543570581	7.01536993015844	4.78771465919693	4.37664836165185	2.11812860530817	2.96983747773105	3.586390749	2.963810117	3.069072366	2.88969802	4.720547836	5.51061673	4.884493652	3.866139408	4.684400084	4.170793543	12.37223312	3.589138197	3.505768433	5.82492194	3.486303855	4.932723268	3.573222235	7.636042052	4.668162189	4.818638924	2.281788352	2.965094935
Y-3920-cfDNA	3.03816880049894	2.75071483478721	2.96002161205021	2.99150339793409	0	7.61644711064296	5.93647022040955	4.86380421258532	3.53928744962628	3.59468159220433	4.31767334268258	11.65025180884	2.7643714928093	3.8954990340018	4.69893613154592	2.91916487136251	4.12606262324004	3.41525432746385	10.171562918164	3.78122469834784	7.56071462096589	1.55859054324157	1.84959435659578	3.076061886	2.659748103	3.201372755	3.346528211	6.152962049	5.239916303	3.966425567	3.198822965	3.187482652	3.836260125	13.39221273	2.691081932	3.729454328	5.340144765	2.991261276	3.959677692	3.667894247	10.9693217	3.65278838	8.24745443	1.663525335	1.829602564
Y-3925-cfDNA	3.33918395914003	3.0549092778331	2.37601923828876	3.12121596739614	0	7.41900333952829	5.52636818242753	5.57759841048253	3.45563009733073	5.25002684744402	5.39092242349882	10.0853594344266	3.86715216167314	3.80119204907717	6.06554003572205	4.05256921511409	4.11723525858875	2.91592887613595	7.22473826447018	2.97464255318449	5.549634452537	1.8951396915022	2.93999026419845	3.409475203	2.97890928	2.591524608	3.521217339	6.044235733	4.91926132	4.587060706	3.149674242	4.694755162	4.830425289	11.6915591	3.796520919	3.669999676	6.951635361	4.187841028	3.984682539	3.158164182	7.857388441	2.897949644	6.104997326	2.039870662	2.932852235
Y-3938-cfDNA	3.86713764193231	3.74420070848225	2.94610858157103	2.30213454497548	0	5.11599187738321	4.95262559490054	5.35267709684561	4.56279072271764	4.20549644577894	3.98652590364902	6.31586727040059	5.85828502330788	5.85513277337996	4.05195312646756	4.44166880561357	6.42879410762837	3.82184154355631	5.98267093509732	5.65398267317133	4.78732319343938	2.84885070995339	2.91794071974832	3.969990982	3.670885011	3.230775888	2.61127381	4.190620887	4.432495215	4.42599573	4.181399281	3.781128123	3.591447953	7.361507229	5.782527856	5.68375908	4.669115555	4.61486093	6.255618566	4.161818664	6.541900297	5.538130957	5.295007111	3.083072909	2.926667969
Y-3941-cfDNA	2.21839456772382	2.32858672466619	2.35589090548764	2.6412172152608	0	7.93003238896408	6.22834546088681	5.57393076354605	3.92660812614096	5.57001820040088	4.44330782204079	13.1771043553827	3.4940083030427	3.61988700135048	5.26463639786659	3.22061935823839	3.97178530973601	3.02399674070876	7.4208952566767	3.56233393730937	5.34631220493267	1.75024991998016	2.93183903965743	2.262198395	2.26775474	2.566287249	2.9758966	6.45231401	5.537037661	4.578186938	3.574379478	4.974537902	3.976247366	15.25617776	3.425809231	3.490486267	6.026020409	3.323868636	3.839003559	3.271024537	8.060409631	3.466054464	5.873813092	1.881508467	2.920983609
y4-YUEVRY_19_3935-cfDNA	2.00190661627318	2.56565751919148	2.54354261698847	3.10961896706921	0	7.55731177885992	7.49460481638834	5.97263824120586	4.1053553948677	6.14747720689454	4.93439962838424	9.74875426175846	2.86171155259445	2.71076836455277	4.47856597463016	2.77494236570685	2.67498160361345	2.81206126648048	9.8321248412831	3.06077043661993	7.06749602338779	2.01906036026067	3.52625016298899	2.0495303	2.508539714	2.781683667	3.517543897	6.173429666	6.689168773	4.925119747	3.751910654	5.512031472	4.433226739	11.33165933	2.816979787	2.624230387	5.146592988	2.875259529	2.595805693	3.053837284	10.72177841	2.989855118	7.795608327	2.179084364	3.527124155
