ReadName	allcelltype	ucelltype	assignedcelltype	CheckedCpG	mismatchCpG	notacceptedCpG	acceptedCpG	finalacceptedfor	finalrejectedfor	MateCIGARok
A00580:76:HFLG2DSXX:4:1413:30056:5447	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr1:24963077', 'chr1:24963014', 'chr1:24963151', 'chr1:24962993']"	['']	"['chr1:24963077', 'chr1:24963014', 'chr1:24963151', 'chr1:24962993']"	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:2:2106:30074:12305	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr1:24963151', 'chr1:24963014', 'chr1:24963077', 'chr1:24963216', 'chr1:24962993']"	['']	"['chr1:24963077', 'chr1:24963216', 'chr1:24963151', 'chr1:24962993']"	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:3:1109:19642:19946	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr1:24963077', 'chr1:24963216', 'chr1:24963151']"	['']	"['chr1:24963077', 'chr1:24963216', 'chr1:24963151']"	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:4:2470:31846:34006	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr1:24963077', 'chr1:24963216', 'chr1:24963151']"	['']	"['chr1:24963077', 'chr1:24963216', 'chr1:24963151']"	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:2:2369:5764:7686	"[""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	['chr1:24963216']	['']	['chr1:24963216']	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:4:1563:3477:26115	"[""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	['chr1:24963216']	['']	['chr1:24963216']	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:4:1452:19407:14403	"[""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	['chr1:24963216']	['']	['chr1:24963216']	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:3:1353:32199:3333	"[""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr1:24969910', 'chr1:24969912']"	['']	"['chr1:24969910', 'chr1:24969912']"	['']	notdetermined	"[""'CD8'""]"	Y
A00118:116:HJ7VFDSXX:3:1310:18575:5509	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr1:24969902', 'chr1:24969910', 'chr1:24969912']"	['']	"['chr1:24969902', 'chr1:24969910', 'chr1:24969912']"	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:4:1429:2003:4867	"[""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr1:24969902', 'chr1:24969910']"	['']	"['chr1:24969902', 'chr1:24969910']"	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:2:2508:32850:23030	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr1:24969902', 'chr1:24969910', 'chr1:24969912']"	['']	['chr1:24969912']	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:2:1422:18954:9799	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr1:24969902', 'chr1:24970016', 'chr1:24969910', 'chr1:24969912']"	['']	"['chr1:24969902', 'chr1:24970016', 'chr1:24969910', 'chr1:24969912']"	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:3:1578:19045:27023	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr1:24969902', 'chr1:24970016', 'chr1:24969910', 'chr1:24969912']"	['']	"['chr1:24969902', 'chr1:24970016', 'chr1:24969910', 'chr1:24969912']"	['']	notdetermined	"[""'CD8'""]"	Y
A00118:116:HJ7VFDSXX:3:2675:6117:21449	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr1:24969902', 'chr1:24970016', 'chr1:24969910', 'chr1:24969912']"	['']	"['chr1:24969902', 'chr1:24970016', 'chr1:24969910', 'chr1:24969912']"	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:3:2309:10845:3490	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr1:24970016', 'chr1:24969910', 'chr1:24969912']"	['']	"['chr1:24970016', 'chr1:24969910', 'chr1:24969912']"	['']	notdetermined	"[""'CD8'""]"	Y
A00118:116:HJ7VFDSXX:3:2662:8458:21151	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr1:24969910', 'chr1:24969912']"	['']	"['chr1:24969910', 'chr1:24969912']"	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:4:2427:29324:22717	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr1:24969902', 'chr1:24970016', 'chr1:24969910', 'chr1:24969912']"	['']	"['chr1:24969902', 'chr1:24970016', 'chr1:24969910', 'chr1:24969912']"	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:4:1213:27507:35477	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr1:24969902', 'chr1:24970016', 'chr1:24969910', 'chr1:24969912']"	['']	"['chr1:24969902', 'chr1:24970016', 'chr1:24969910', 'chr1:24969912']"	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:4:1213:27968:35399	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr1:24969902', 'chr1:24969910', 'chr1:24969912']"	['']	"['chr1:24969902', 'chr1:24969910', 'chr1:24969912']"	['']	notdetermined	"[""'CD8'""]"	Y
A00118:116:HJ7VFDSXX:3:1231:21359:13745	"[""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	['chr1:24970016']	['']	['chr1:24970016']	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:3:1158:16315:16908	"[""'CD8'""]"	"[""'CD8'""]"	NotAssigned	['chr1:24970016']	['']	['chr1:24970016']	['']	notdetermined	"[""'CD8'""]"	Y
A00118:116:HJ7VFDSXX:3:2353:24650:1251	"[""'CD8'""]"	"[""'CD8'""]"	NotAssigned	['chr1:24970016']	['']	['chr1:24970016']	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:3:2129:6216:7091	"[""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr1:40388114', 'chr1:40388100']"	['']	"['chr1:40388114', 'chr1:40388100']"	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:3:2569:4209:15483	"[""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr1:40388114', 'chr1:40388100']"	['']	"['chr1:40388114', 'chr1:40388100']"	['']	notdetermined	"[""'CD8'""]"	Y
A00118:116:HJ7VFDSXX:3:2264:30517:5494	"[""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr1:40388114', 'chr1:40388100']"	['']	"['chr1:40388114', 'chr1:40388100']"	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:4:2256:6316:17440	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr1:40388114', 'chr1:40388100']"	['']	"['chr1:40388114', 'chr1:40388100']"	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:3:1638:22462:1689	"[""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr1:40388114', 'chr1:40388100', 'chr1:40388179']"	['']	"['chr1:40388114', 'chr1:40388100', 'chr1:40388179']"	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:4:2256:16242:18349	"[""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr1:40388114', 'chr1:40388100', 'chr1:40388179']"	['']	"['chr1:40388114', 'chr1:40388100']"	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:2:2424:29875:14121	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr1:40388114', 'chr1:40388100', 'chr1:40388179']"	['']	"['chr1:40388114', 'chr1:40388100', 'chr1:40388179']"	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:4:2434:10013:36119	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr1:40388237', 'chr1:40388114', 'chr1:40388100', 'chr1:40388179']"	['']	"['chr1:40388237', 'chr1:40388114', 'chr1:40388100', 'chr1:40388179']"	['']	notdetermined	"[""'CD8'""]"	Y
A00118:116:HJ7VFDSXX:3:2345:17282:25097	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr1:40388237', 'chr1:40388114', 'chr1:40388100', 'chr1:40388179']"	['']	"['chr1:40388237', 'chr1:40388114', 'chr1:40388100', 'chr1:40388179']"	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:4:1627:22453:3552	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr1:40388179', 'chr1:40388100', 'chr1:40388244', 'chr1:40388246', 'chr1:40388237', 'chr1:40388114']"	['']	"['chr1:40388179', 'chr1:40388100', 'chr1:40388244', 'chr1:40388246', 'chr1:40388237', 'chr1:40388114']"	['']	notdetermined	"[""'CD8'""]"	Y
A00118:116:HJ7VFDSXX:3:1156:23701:16485	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr1:40388255', 'chr1:40388179', 'chr1:40388100', 'chr1:40388244', 'chr1:40388246', 'chr1:40388237', 'chr1:40388114']"	['']	"['chr1:40388255', 'chr1:40388179', 'chr1:40388100', 'chr1:40388244', 'chr1:40388246', 'chr1:40388237', 'chr1:40388114']"	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:2:1359:8024:26443	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr1:40388255', 'chr1:40388179', 'chr1:40388244', 'chr1:40388246', 'chr1:40388237']"	['']	"['chr1:40388255', 'chr1:40388179']"	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:4:2269:17870:28588	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr1:40388255', 'chr1:40388100', 'chr1:40388179', 'chr1:40388244', 'chr1:40388246', 'chr1:40388237', 'chr1:40388114']"	['']	"['chr1:40388100', 'chr1:40388179', 'chr1:40388244', 'chr1:40388246', 'chr1:40388237', 'chr1:40388114']"	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:4:1465:23999:11177	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr1:40388255', 'chr1:40388179', 'chr1:40388244', 'chr1:40388246', 'chr1:40388237']"	['']	"['chr1:40388255', 'chr1:40388179', 'chr1:40388244', 'chr1:40388246', 'chr1:40388237']"	['']	notdetermined	"[""'CD8'""]"	Y
A00118:116:HJ7VFDSXX:3:1465:30942:13056	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr1:40388255', 'chr1:40388179', 'chr1:40388244', 'chr1:40388246', 'chr1:40388237']"	['']	"['chr1:40388255', 'chr1:40388179', 'chr1:40388244', 'chr1:40388246', 'chr1:40388237']"	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:4:2205:9209:16094	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr1:40388255', 'chr1:40388179', 'chr1:40388100', 'chr1:40388244', 'chr1:40388246', 'chr1:40388237', 'chr1:40388114']"	['']	"['chr1:40388255', 'chr1:40388179', 'chr1:40388100', 'chr1:40388244', 'chr1:40388246', 'chr1:40388237', 'chr1:40388114']"	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:2:1364:30608:6621	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr1:40388255', 'chr1:40388179', 'chr1:40388244', 'chr1:40388246', 'chr1:40388237']"	['']	"['chr1:40388255', 'chr1:40388179', 'chr1:40388244', 'chr1:40388246', 'chr1:40388237']"	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:3:2672:6506:30326	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr1:40388237', 'chr1:40388244', 'chr1:40388255', 'chr1:40388246']"	['']	"['chr1:40388237', 'chr1:40388244', 'chr1:40388255', 'chr1:40388246']"	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:3:2275:10167:8891	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr1:40388255', 'chr1:40388244', 'chr1:40388375', 'chr1:40388246', 'chr1:40388237']"	['']	"['chr1:40388255', 'chr1:40388244', 'chr1:40388375', 'chr1:40388246', 'chr1:40388237']"	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:2:2526:11279:11694	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr1:40388255', 'chr1:40388244', 'chr1:40388375', 'chr1:40388246', 'chr1:40388237']"	['']	"['chr1:40388237', 'chr1:40388244', 'chr1:40388255', 'chr1:40388246']"	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:3:2234:29668:16517	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr1:40388255', 'chr1:40388179', 'chr1:40388244', 'chr1:40388246', 'chr1:40388375', 'chr1:40388237']"	['']	"['chr1:40388255', 'chr1:40388179', 'chr1:40388244', 'chr1:40388246', 'chr1:40388375', 'chr1:40388237']"	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:2:2575:1497:30295	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr1:40388375', 'chr1:40388114', 'chr1:40388100', 'chr1:40388179']"	['']	"['chr1:40388375', 'chr1:40388114', 'chr1:40388100', 'chr1:40388179']"	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:3:2333:4942:29966	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr1:40388375', 'chr1:40388255', 'chr1:40388246']"	['']	"['chr1:40388375', 'chr1:40388255', 'chr1:40388246']"	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:4:2520:2691:33051	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr1:40388375', 'chr1:40388244', 'chr1:40388255', 'chr1:40388246']"	['']	"['chr1:40388375', 'chr1:40388244', 'chr1:40388255', 'chr1:40388246']"	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:3:1245:1145:28463	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr1:40388255', 'chr1:40388179', 'chr1:40388244', 'chr1:40388246', 'chr1:40388375', 'chr1:40388237']"	['']	"['chr1:40388255', 'chr1:40388179', 'chr1:40388244', 'chr1:40388246', 'chr1:40388375', 'chr1:40388237']"	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:3:1269:6280:4758	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr1:40388255', 'chr1:40388244', 'chr1:40388375', 'chr1:40388246', 'chr1:40388237']"	['']	"['chr1:40388255', 'chr1:40388244', 'chr1:40388375', 'chr1:40388246', 'chr1:40388237']"	['']	notdetermined	"[""'CD8'""]"	Y
A00118:116:HJ7VFDSXX:3:2131:11496:34616	"[""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr10:118701284', 'chr10:118701219']"	"[""'chr10:118701219'""]"	"['chr10:118701284', 'chr10:118701219']"	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:2:1418:8883:11115	"[""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr10:118701284', 'chr10:118701219']"	['']	['chr10:118701284']	['']	notdetermined	"[""'CD8'""]"	Y
A00118:116:HJ7VFDSXX:3:1161:2248:11240	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr10:118701284', 'chr10:118701219']"	['']	"['chr10:118701284', 'chr10:118701219']"	['']	notdetermined	"[""'CD8'""]"	Y
A00118:116:HJ7VFDSXX:3:2173:28890:14669	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr10:118701304', 'chr10:118701284', 'chr10:118701219']"	['']	"['chr10:118701304', 'chr10:118701284', 'chr10:118701219']"	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:2:1450:9236:34616	"[""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr10:118701304', 'chr10:118701284']"	['']	"['chr10:118701304', 'chr10:118701284']"	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:2:1418:10212:20932	"[""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	['chr10:118701284']	['']	['chr10:118701284']	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:2:1313:25382:15295	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr10:118701304', 'chr10:118701342', 'chr10:118701284', 'chr10:118701219']"	['']	"['chr10:118701304', 'chr10:118701342', 'chr10:118701284', 'chr10:118701219']"	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:3:2612:16369:27211	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr10:118701304', 'chr10:118701342', 'chr10:118701284', 'chr10:118701219']"	['']	"['chr10:118701304', 'chr10:118701342', 'chr10:118701284', 'chr10:118701219']"	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:3:2470:19768:35164	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr10:118701304', 'chr10:118701342', 'chr10:118701284', 'chr10:118701219']"	['']	"['chr10:118701304', 'chr10:118701342', 'chr10:118701284', 'chr10:118701219']"	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:4:2344:29297:31845	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr10:118701304', 'chr10:118701342', 'chr10:118701284']"	['']	"['chr10:118701304', 'chr10:118701284']"	['']	notdetermined	"[""'CD8'""]"	Y
A00118:116:HJ7VFDSXX:3:1244:18502:33254	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr10:118701304', 'chr10:118701284']"	['']	"['chr10:118701304', 'chr10:118701284']"	['']	notdetermined	"[""'CD8'""]"	Y
A00118:116:HJ7VFDSXX:3:1475:28411:34632	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr10:118701304', 'chr10:118701342', 'chr10:118701284']"	['']	"['chr10:118701304', 'chr10:118701342', 'chr10:118701284']"	['']	notdetermined	"[""'CD8'""]"	Y
A00118:116:HJ7VFDSXX:3:2555:24089:18537	"[""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr11:588439', 'chr11:588441']"	['']	"['chr11:588439', 'chr11:588441']"	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:2:2307:21748:11193	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr11:588505', 'chr11:588439', 'chr11:588503', 'chr11:588441']"	['']	"['chr11:588505', 'chr11:588439', 'chr11:588503', 'chr11:588441']"	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:2:1465:1307:35258	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr11:588505', 'chr11:588439', 'chr11:588503', 'chr11:588441']"	['']	"['chr11:588505', 'chr11:588441']"	['']	notdetermined	"[""'CD8'""]"	Y
