chrom	start	end	celltype
chr2	203836067	203836069	[Tr]
chr2	203836118	203836120	[Tr]
chr2	203836177	203836179	[Tr]
chr2	203836206	203836208	[Tr]
chr2	203836212	203836214	[Tr]
chr2	203836282	203836284	[Tr]
chr2	203836287	203836289	[Tr]
chr2	203836345	203836347	[Tr]
chr2	203836464	203836466	[Tr]
chr2	203836495	203836497	[Tr]
chr2	203836567	203836569	[Tr]
chr2	203836598	203836600	[Tr]
chr2	203836608	203836610	[Tr]
chr2	203836614	203836616	[Tr]
chr2	203836693	203836695	[Tr]
chr2	203836886	203836888	[Tr]
chr2	203853749	203853751	[Tr]
chr2	203853943	203853945	[Tr]
chr2	203853956	203853958	[Tr]
chr2	203854015	203854017	[Tr]
chr2	203854095	203854097	[Tr]
chr2	203854174	203854176	[Tr]
chr2	203854265	203854267	[Tr]
chr2	203854320	203854322	[Tr]
chr2	203854346	203854348	[Tr]
chr2	203854354	203854356	[Tr]
chr2	203870592	203870594	[Tr]
chr2	203870626	203870628	[Tr]
chr2	203870634	203870636	[Tr]
chr2	203870683	203870685	[Tr]
chr2	203870698	203870700	[Tr]
chr2	203870732	203870734	[Tr]
chr2	203870786	203870788	[Tr]
chr2	203870846	203870848	[Tr]
chr2	203870885	203870887	[Tr]
chr2	203870910	203870912	[Tr]
chr2	213135456	213135458	[Tr]
chr2	213135638	213135640	[Tr]
chr2	213135646	213135648	[Tr]
chr2	213135815	213135817	[Tr]
chr2	213135821	213135823	[Tr]
chr2	213135845	213135847	[Tr]
chr2	213135851	213135853	[Tr]
chr2	213135875	213135877	[Tr]
chr2	213135907	213135909	[Tr]
chr2	213135980	213135982	[Tr]
chr2	213136002	213136004	[Tr]
chr2	213136004	213136006	[Tr]
chr2	213136009	213136011	[Tr]
chr2	213136034	213136036	[Tr]
chr2	213136042	213136044	[Tr]
chr2	213136090	213136092	[Tr]
chr2	213136152	213136154	[Tr]
chr2	213136242	213136244	[Tr]
chr2	213136262	213136264	[Tr]
chr2	213136324	213136326	[Tr]
chr2	213136326	213136328	[Tr]
chr21	31178338	31178340	[Tr]
chr21	31178344	31178346	[Tr]
chr21	31178374	31178376	[Tr]
chr21	31178397	31178399	[Tr]
chr21	31178406	31178408	[Tr]
chr21	31178430	31178432	[Tr]
chr21	31178454	31178456	[Tr]
chr21	31178495	31178497	[Tr]
chr21	31178526	31178528	[Tr]
chr21	31178540	31178542	[Tr]
chr21	31178556	31178558	[Tr]
chr21	31178564	31178566	[Tr]
chr5	160479760	160479762	[Tr]
chr5	160479788	160479790	[Tr]
chr5	160480052	160480054	[Tr]
chr5	160480085	160480087	[Tr]
chr5	160480167	160480169	[Tr]
chr5	160480224	160480226	[Tr]
chr5	160480267	160480269	[Tr]
chr5	160480276	160480278	[Tr]
chr5	160480297	160480299	[Tr]
chr5	160480500	160480502	[Tr]
chr5	160480565	160480567	[Tr]
chr5	160480582	160480584	[Tr]
chr5	160480837	160480839	[Tr]
chr6	38937889	38937891	[Tr]
chr6	38937935	38937937	[Tr]
chr6	38937949	38937951	[Tr]
chr6	38937989	38937991	[Tr]
chr6	38938011	38938013	[Tr]
chr6	38938085	38938087	[Tr]
chr6	38938087	38938089	[Tr]
chr6	38938104	38938106	[Tr]
chr6	38938109	38938111	[Tr]
chr6	38938119	38938121	[Tr]
chr6	38938121	38938123	[Tr]
chr6	43222330	43222332	[Tr]
chr6	43222342	43222344	[Tr]
chr6	43222385	43222387	[Tr]
chr6	43222387	43222389	[Tr]
chr6	43222409	43222411	[Tr]
chr6	43222474	43222476	[Tr]
chr6	43222548	43222550	[Tr]
chr6	43222582	43222584	[Tr]
chr6	43222635	43222637	[Tr]
chr6	43222648	43222650	[Tr]
chr6	43222713	43222715	[Tr]
chr6	43222751	43222753	[Tr]
chr6	43222789	43222791	[Tr]
chr6	43222795	43222797	[Tr]
chr6	43222819	43222821	[Tr]
chr6	43222954	43222956	[Tr]
chr6	43223056	43223058	[Tr]
chr6	43223086	43223088	[Tr]
chr6	43223096	43223098	[Tr]
chr6	43223184	43223186	[Tr]
chr6	43223277	43223279	[Tr]
chr6	43223304	43223306	[Tr]
chr6	43223313	43223315	[Tr]
chr6	43223318	43223320	[Tr]
chr6	43223332	43223334	[Tr]
chr6	43223349	43223351	[Tr]
chr6	43223352	43223354	[Tr]
chr6	43223405	43223407	[Tr]
chr6	43223436	43223438	[Tr]
chr6	43223481	43223483	[Tr]
chr6	43223507	43223509	[Tr]
chr6	43223532	43223534	[Tr]
chr6	43223541	43223543	[Tr]
chrX	49260731	49260733	[Tr]
chrX	49260766	49260768	[Tr]
chrX	49260785	49260787	[Tr]
chrX	49260794	49260796	[Tr]
chrX	49260802	49260804	[Tr]
chrX	49260806	49260808	[Tr]
chrX	49260812	49260814	[Tr]
chrX	49260815	49260817	[Tr]
chrX	49260825	49260827	[Tr]
chrX	49260833	49260835	[Tr]
chrX	49260874	49260876	[Tr]
chrX	49260879	49260881	[Tr]
chrX	49261181	49261183	[Tr]
chrX	49261348	49261350	[Tr]
chrX	49261371	49261373	[Tr]
chrX	49261462	49261464	[Tr]
chrX	49261518	49261520	[Tr]
chrX	49261582	49261584	[Tr]
chrX	49261618	49261620	[Tr]
chrX	49261668	49261670	[Tr]
chrX	49261675	49261677	[Tr]
chrX	49261704	49261706	[Tr]
chrX	49261855	49261857	[Tr]
chrX	49261865	49261867	[Tr]
chrX	49261916	49261918	[Tr]
chrX	49261924	49261926	[Tr]
chrX	49261955	49261957	[Tr]
chrX	49262150	49262152	[Tr]
chrX	49263466	49263468	[Tr]
chrX	49263477	49263479	[Tr]
chrX	49263493	49263495	[Tr]
chrX	49263681	49263683	[Tr]
chrX	49263705	49263707	[Tr]
chrX	49263727	49263729	[Tr]
chrX	49263823	49263825	[Tr]
chrX	49263858	49263860	[Tr]
chrX	49263881	49263883	[Tr]
chrX	49263919	49263921	[Tr]
chrX	49263991	49263993	[Tr]
chrX	49263994	49263996	[Tr]
chrX	49264013	49264015	[Tr]
chrX	49264085	49264087	[Tr]
chrX	49264174	49264176	[Tr]
chrX	49264198	49264200	[Tr]
chrX	49264426	49264428	[Tr]
chrX	49264589	49264591	[Tr]
chrX	49264592	49264594	[Tr]
chrX	49264714	49264716	[Tr]
chrX	49264764	49264766	[Tr]
chrX	49264776	49264778	[Tr]
chr1	182088190	182088192	[m4]
chr1	182088209	182088211	[m4]
chr1	182088238	182088240	[m4]
chr1	182088351	182088353	[m4]
chr1	182088358	182088360	[m4]
chr1	182088366	182088368	[m4]
chr1	182088371	182088373	[m4]
chr1	182088396	182088398	[m4]
chr1	182088407	182088409	[m4]
chr15	60704153	60704155	[m4]
chr15	60704166	60704168	[m4]
chr15	60704188	60704190	[m4]
chr15	60704213	60704215	[m4]
chr15	60704229	60704231	[m4]
chr15	60704298	60704300	[m4]
chr15	60704332	60704334	[m4]
chr15	60704438	60704440	[m4]
chr15	60704659	60704661	[m4]
chr15	60704696	60704698	[m4]
chr15	60704708	60704710	[m4]
chr15	60704712	60704714	[m4]
chr15	60704800	60704802	[m4]
chr15	60704833	60704835	[m4]
chr15	60704972	60704974	[m4]
chr15	60704983	60704985	[m4]
chr15	60705003	60705005	[m4]
chr15	60705028	60705030	[m4]
chr15	60705045	60705047	[m4]
chr15	60705050	60705052	[m4]
chr15	60705099	60705101	[m4]
chr2	173899017	173899019	[m4]
chr2	173899197	173899199	[m4]
chr2	173899210	173899212	[m4]
chr2	173899330	173899332	[m4]
chr2	173899344	173899346	[m4]
chr2	173899351	173899353	[m4]
chr2	173899362	173899364	[m4]
chr2	173899395	173899397	[m4]
chr2	173899459	173899461	[m4]
chr2	173899483	173899485	[m4]
chr20	38779372	38779374	[m4]
chr20	38779430	38779432	[m4]
chr20	38779442	38779444	[m4]
chr20	38779460	38779462	[m4]
chr20	38779473	38779475	[m4]
chr20	38779491	38779493	[m4]
chr20	38779503	38779505	[m4]
chr20	38779511	38779513	[m4]
chr20	38779606	38779608	[m4]
chr20	38779618	38779620	[m4]
chr20	38779653	38779655	[m4]
chr20	38779689	38779691	[m4]
chr20	38779772	38779774	[m4]
chr8	11866306	11866308	[m4]
chr8	11866367	11866369	[m4]
chr8	11866380	11866382	[m4]
chr8	11866457	11866459	[m4]
chr8	11866485	11866487	[m4]
chr8	11866523	11866525	[m4]
chr8	11866551	11866553	[m4]
chr8	11866606	11866608	[m4]
chr8	11866616	11866618	[m4]
chr8	11866624	11866626	[m4]
chr8	11866633	11866635	[m4]
chr8	11866719	11866721	[m4]
chr8	11866727	11866729	[m4]
chr8	11866790	11866792	[m4]
chr8	11866807	11866809	[m4]
chr8	11866813	11866815	[m4]
chr8	11866815	11866817	[m4]
chr8	11866853	11866855	[m4]
chr8	11866871	11866873	[m4]
chr8	11866878	11866880	[m4]
chr8	11866888	11866890	[m4]
chr8	11866930	11866932	[m4]
chr8	11866999	11867001	[m4]
chr1	6063899	6063901	[DC]
chr1	6063929	6063931	[DC]
chr1	6063962	6063964	[DC]
chr1	6063993	6063995	[DC]
chr1	6498700	6498702	[DC]
chr1	6498732	6498734	[DC]
chr1	6498797	6498799	[DC]
chr1	6498830	6498832	[DC]
chr1	6498869	6498871	[DC]
chr1	6498881	6498883	[DC]
chr1	6498901	6498903	[DC]
chr1	6498951	6498953	[DC]
chr1	6499007	6499009	[DC]
chr1	6502393	6502395	[DC]
chr1	6502399	6502401	[DC]
chr1	6502408	6502410	[DC]
chr1	6502415	6502417	[DC]
chr1	6502549	6502551	[DC]
chr1	6502562	6502564	[DC]
chr1	6502577	6502579	[DC]
chr1	6502581	6502583	[DC]
chr1	6502600	6502602	[DC]
chr1	6502633	6502635	[DC]
chr1	6502649	6502651	[DC]
chr1	6502660	6502662	[DC]
chr1	6502695	6502697	[DC]
chr1	6502713	6502715	[DC]
chr1	109881096	109881098	[DC]
chr1	109881153	109881155	[DC]
chr1	109881182	109881184	[DC]
chr1	109881190	109881192	[DC]
chr1	109881241	109881243	[DC]
chr1	109881287	109881289	[DC]
chr1	206932334	206932336	[DC]
chr1	206932414	206932416	[DC]
chr1	206932455	206932457	[DC]
chr1	206932458	206932460	[DC]
chr1	206932472	206932474	[DC]
chr1	206932497	206932499	[DC]
chr10	3526009	3526011	[DC]
chr10	3526014	3526016	[DC]
chr10	3526057	3526059	[DC]
chr10	3526078	3526080	[DC]
chr10	49163882	49163884	[DC]
chr10	49163916	49163918	[DC]
chr10	49163936	49163938	[DC]
chr10	49163967	49163969	[DC]
chr10	123309816	123309818	[DC]
chr10	123309830	123309832	[DC]
chr10	123309843	123309845	[DC]
chr10	123309887	123309889	[DC]
chr10	123309910	123309912	[DC]
chr11	11318581	11318583	[DC]
chr11	11318592	11318594	[DC]
chr11	11318614	11318616	[DC]
chr11	11318709	11318711	[DC]
chr11	11318822	11318824	[DC]
chr11	76689266	76689268	[DC]
chr11	76689280	76689282	[DC]
chr11	76689387	76689389	[DC]
chr11	76689429	76689431	[DC]
chr11	76689457	76689459	[DC]
chr11	76689468	76689470	[DC]
chr11	76689507	76689509	[DC]
chr11	76689549	76689551	[DC]
chr11	76689556	76689558	[DC]
chr11	76689607	76689609	[DC]
chr11	76689684	76689686	[DC]
chr12	57104486	57104488	[DC]
chr12	57104522	57104524	[DC]
chr12	57104557	57104559	[DC]
chr12	57104566	57104568	[DC]
chr12	57104614	57104616	[DC]
chr12	57104635	57104637	[DC]
chr13	49314161	49314163	[DC]
chr13	49314193	49314195	[DC]
chr13	49314207	49314209	[DC]
chr13	49314210	49314212	[DC]
chr13	49314213	49314215	[DC]
chr14	68961861	68961863	[DC]
chr14	68961900	68961902	[DC]
chr14	68961904	68961906	[DC]
chr14	68961908	68961910	[DC]
chr14	68962054	68962056	[DC]
chr14	75281355	75281357	[DC]
chr14	75281392	75281394	[DC]
chr14	75281407	75281409	[DC]
chr14	75281447	75281449	[DC]
chr14	75281470	75281472	[DC]
chr14	92990526	92990528	[DC]
chr14	92990556	92990558	[DC]
chr14	92990659	92990661	[DC]
chr14	92990668	92990670	[DC]
chr15	22968460	22968462	[DC]
chr15	22968492	22968494	[DC]
chr15	22968551	22968553	[DC]
chr15	22968639	22968641	[DC]
chr15	58889483	58889485	[DC]
chr15	58889522	58889524	[DC]
chr15	58889531	58889533	[DC]
chr15	58889546	58889548	[DC]
chr15	58889549	58889551	[DC]
chr15	68312949	68312951	[DC]
chr15	68312959	68312961	[DC]
chr15	68312966	68312968	[DC]
chr15	68312981	68312983	[DC]
chr15	68312990	68312992	[DC]
chr15	68313043	68313045	[DC]
chr15	68313085	68313087	[DC]
chr15	68313124	68313126	[DC]
chr15	68313153	68313155	[DC]
chr15	68313202	68313204	[DC]
chr15	68313227	68313229	[DC]
chr15	99414843	99414845	[DC]
chr15	99414849	99414851	[DC]
chr15	99414866	99414868	[DC]
chr15	99414876	99414878	[DC]
chr15	99414895	99414897	[DC]
chr15	99414938	99414940	[DC]
chr15	99414948	99414950	[DC]
chr15	99414950	99414952	[DC]
chr15	99415156	99415158	[DC]
chr16	5020624	5020626	[DC]
chr16	5020641	5020643	[DC]
chr16	5020654	5020656	[DC]
chr16	5020668	5020670	[DC]
chr16	5020680	5020682	[DC]
chr16	5020707	5020709	[DC]
chr16	5020735	5020737	[DC]
chr16	5020743	5020745	[DC]
chr16	5020746	5020748	[DC]
chr16	5020753	5020755	[DC]
chr16	5020789	5020791	[DC]
chr16	31332039	31332041	[DC]
chr16	31332050	31332052	[DC]
chr16	31332074	31332076	[DC]
chr16	31332089	31332091	[DC]
chr16	31332095	31332097	[DC]
chr16	31332106	31332108	[DC]
chr16	31332138	31332140	[DC]
chr16	31332150	31332152	[DC]
chr16	31332168	31332170	[DC]
chr16	31332180	31332182	[DC]
chr16	31332250	31332252	[DC]
chr16	31332253	31332255	[DC]
chr16	31332259	31332261	[DC]
chr16	31332267	31332269	[DC]
chr16	31332284	31332286	[DC]
chr16	70784970	70784972	[DC]
chr16	70785078	70785080	[DC]
chr16	70785113	70785115	[DC]
chr16	70785126	70785128	[DC]
chr16	70785160	70785162	[DC]
chr16	70785205	70785207	[DC]
chr16	70785229	70785231	[DC]
chr16	70785269	70785271	[DC]
chr16	70785271	70785273	[DC]
chr16	70785308	70785310	[DC]
chr16	79437716	79437718	[DC]
chr16	79437725	79437727	[DC]
chr16	79437760	79437762	[DC]
chr16	79437907	79437909	[DC]
chr16	79437918	79437920	[DC]
chr16	88695365	88695367	[DC]
chr16	88695371	88695373	[DC]
chr16	88695382	88695384	[DC]
chr16	88695399	88695401	[DC]
chr16	88695408	88695410	[DC]
chr16	88695424	88695426	[DC]
chr16	88695427	88695429	[DC]
chr16	88695453	88695455	[DC]
chr16	88695502	88695504	[DC]
chr16	88695510	88695512	[DC]
chr16	88695540	88695542	[DC]
chr17	504693	504695	[DC]
chr17	504855	504857	[DC]
chr17	504909	504911	[DC]
chr17	504974	504976	[DC]
chr17	1092152	1092154	[DC]
chr17	1092154	1092156	[DC]
chr17	1092167	1092169	[DC]
chr17	1092182	1092184	[DC]
chr17	1092300	1092302	[DC]
chr17	1092347	1092349	[DC]
chr17	2406983	2406985	[DC]
chr17	2407146	2407148	[DC]
chr17	2407191	2407193	[DC]
chr17	2407208	2407210	[DC]
chr17	2407348	2407350	[DC]
chr17	2407358	2407360	[DC]
chr17	2407402	2407404	[DC]
chr17	2407405	2407407	[DC]
chr17	8005086	8005088	[DC]
chr17	8005100	8005102	[DC]
chr17	8005132	8005134	[DC]
chr17	8005185	8005187	[DC]
chr17	8005195	8005197	[DC]
chr17	28634349	28634351	[DC]
chr17	28634413	28634415	[DC]
chr17	28634474	28634476	[DC]
chr17	28634484	28634486	[DC]
chr17	28634548	28634550	[DC]
chr17	77287097	77287099	[DC]
chr17	77287126	77287128	[DC]
chr17	77287157	77287159	[DC]
chr17	77287211	77287213	[DC]
chr17	77287232	77287234	[DC]
chr17	77287258	77287260	[DC]
chr17	77287288	77287290	[DC]
chr17	77287294	77287296	[DC]
chr18	13480583	13480585	[DC]
chr18	13480594	13480596	[DC]
chr18	13480604	13480606	[DC]
chr18	13480643	13480645	[DC]
chr18	13480906	13480908	[DC]
chr18	13480993	13480995	[DC]
chr18	79934314	79934316	[DC]
chr18	79934338	79934340	[DC]
chr18	79934347	79934349	[DC]
chr18	79934421	79934423	[DC]
chr19	1126060	1126062	[DC]
chr19	1126070	1126072	[DC]
chr19	1126083	1126085	[DC]
chr19	1126103	1126105	[DC]
chr19	1126108	1126110	[DC]
chr19	1126116	1126118	[DC]
chr19	1126225	1126227	[DC]
chr19	1126305	1126307	[DC]
chr19	1126310	1126312	[DC]
chr19	1126342	1126344	[DC]
chr19	1126354	1126356	[DC]
chr19	1126378	1126380	[DC]
chr19	1126383	1126385	[DC]
chr19	1126397	1126399	[DC]
chr19	1126423	1126425	[DC]
chr19	1151065	1151067	[DC]
chr19	1151162	1151164	[DC]
chr19	1151226	1151228	[DC]
chr19	1151241	1151243	[DC]
chr19	2189092	2189094	[DC]
chr19	2189117	2189119	[DC]
chr19	2189133	2189135	[DC]
chr19	2189165	2189167	[DC]
chr19	2189196	2189198	[DC]
chr19	2189267	2189269	[DC]
chr19	4715689	4715691	[DC]
chr19	4715728	4715730	[DC]
chr19	4715765	4715767	[DC]
chr19	4715820	4715822	[DC]
chr19	4715834	4715836	[DC]
chr19	4715844	4715846	[DC]
chr19	4715847	4715849	[DC]
chr19	4715878	4715880	[DC]
chr19	4715884	4715886	[DC]
chr19	4715958	4715960	[DC]
chr19	4715976	4715978	[DC]
chr19	4716006	4716008	[DC]
chr19	4716018	4716020	[DC]
chr19	4716037	4716039	[DC]
chr19	4716048	4716050	[DC]
chr19	4716073	4716075	[DC]
chr19	4716101	4716103	[DC]
chr19	4716133	4716135	[DC]
chr19	4716190	4716192	[DC]
chr19	10206371	10206373	[DC]
chr19	10206395	10206397	[DC]
chr19	10206409	10206411	[DC]
chr19	10206448	10206450	[DC]
chr19	18660346	18660348	[DC]
chr19	18660368	18660370	[DC]
chr19	18660391	18660393	[DC]
chr19	18660401	18660403	[DC]
chr19	18660413	18660415	[DC]
chr19	18660424	18660426	[DC]
chr19	18660434	18660436	[DC]
chr19	18660438	18660440	[DC]
chr19	18660446	18660448	[DC]
chr19	18660453	18660455	[DC]
chr19	18660461	18660463	[DC]
chr19	18660473	18660475	[DC]
chr19	18660478	18660480	[DC]
chr19	18660492	18660494	[DC]
chr19	18660516	18660518	[DC]
chr19	18660519	18660521	[DC]
chr19	18660524	18660526	[DC]
chr19	18660528	18660530	[DC]
chr19	18660582	18660584	[DC]
chr19	18660617	18660619	[DC]
chr19	18660632	18660634	[DC]
chr19	18660646	18660648	[DC]
chr19	18660657	18660659	[DC]
chr19	18660662	18660664	[DC]
chr19	18660670	18660672	[DC]
chr19	18660764	18660766	[DC]
chr19	18660779	18660781	[DC]
chr19	18660844	18660846	[DC]
chr19	18660846	18660848	[DC]
chr19	18660859	18660861	[DC]
chr19	18660917	18660919	[DC]
chr2	9416013	9416015	[DC]
chr2	9416058	9416060	[DC]
chr2	9416095	9416097	[DC]
chr2	9416133	9416135	[DC]
chr2	9416204	9416206	[DC]
chr2	37357722	37357724	[DC]
chr2	37357782	37357784	[DC]
chr2	37357808	37357810	[DC]
chr2	37357818	37357820	[DC]
chr2	60310183	60310185	[DC]
chr2	60310298	60310300	[DC]
chr2	60310303	60310305	[DC]
chr2	60310550	60310552	[DC]
chr2	60862298	60862300	[DC]
chr2	60862348	60862350	[DC]
chr2	60862369	60862371	[DC]
chr2	60862397	60862399	[DC]
chr2	96556902	96556904	[DC]
chr2	96556907	96556909	[DC]
chr2	96556945	96556947	[DC]
chr2	96556953	96556955	[DC]
chr2	96557134	96557136	[DC]
chr2	96557139	96557141	[DC]
chr2	112643263	112643265	[DC]
chr2	112643274	112643276	[DC]
chr2	112643281	112643283	[DC]
chr2	112643301	112643303	[DC]
chr2	120237589	120237591	[DC]
chr2	120237623	120237625	[DC]
chr2	120237641	120237643	[DC]
chr2	120237694	120237696	[DC]
chr2	120237776	120237778	[DC]
chr2	120237826	120237828	[DC]
chr2	120238768	120238770	[DC]
chr2	120238778	120238780	[DC]
chr2	120238841	120238843	[DC]
chr2	120238878	120238880	[DC]
chr2	120238969	120238971	[DC]
chr2	120238976	120238978	[DC]
chr2	120238983	120238985	[DC]
chr2	130375002	130375004	[DC]
chr2	130375005	130375007	[DC]
chr2	130375009	130375011	[DC]
chr2	130375059	130375061	[DC]
chr2	130375073	130375075	[DC]
chr2	130375151	130375153	[DC]
chr2	218282745	218282747	[DC]
chr2	218282769	218282771	[DC]
chr2	218282897	218282899	[DC]
chr2	218282903	218282905	[DC]
chr2	218282920	218282922	[DC]
chr20	1327362	1327364	[DC]
chr20	1327383	1327385	[DC]
chr20	1327402	1327404	[DC]
chr20	1327404	1327406	[DC]
chr20	1327415	1327417	[DC]
chr20	1327479	1327481	[DC]
chr20	1327583	1327585	[DC]
chr20	23098193	23098195	[DC]
chr20	23098200	23098202	[DC]
chr20	23098241	23098243	[DC]
chr20	23098243	23098245	[DC]
chr20	47379868	47379870	[DC]
chr20	47379957	47379959	[DC]
chr20	47379967	47379969	[DC]
chr20	47380032	47380034	[DC]
chr20	47380050	47380052	[DC]
chr20	47380081	47380083	[DC]
chr21	43690246	43690248	[DC]
chr21	43690262	43690264	[DC]
chr21	43690276	43690278	[DC]
chr21	43690282	43690284	[DC]
chr21	43690340	43690342	[DC]
chr21	43690433	43690435	[DC]
chr21	43691128	43691130	[DC]
chr21	43691143	43691145	[DC]
chr21	43691161	43691163	[DC]
chr21	43691211	43691213	[DC]
chr21	43691222	43691224	[DC]
chr21	43691241	43691243	[DC]
chr21	43691258	43691260	[DC]
chr21	43691270	43691272	[DC]
chr21	43691286	43691288	[DC]
chr21	43691340	43691342	[DC]
chr21	43691384	43691386	[DC]
chr21	43691401	43691403	[DC]
chr21	43691500	43691502	[DC]
chr21	43691521	43691523	[DC]
chr3	14409333	14409335	[DC]
chr3	14409351	14409353	[DC]
chr3	14409360	14409362	[DC]
chr3	14409409	14409411	[DC]
chr3	14409501	14409503	[DC]
chr3	14409520	14409522	[DC]
chr3	14409540	14409542	[DC]
chr3	14409552	14409554	[DC]
chr3	14409556	14409558	[DC]
chr3	14409563	14409565	[DC]
chr3	126926894	126926896	[DC]
chr3	126926897	126926899	[DC]
chr3	126926916	126926918	[DC]
chr3	126926927	126926929	[DC]
chr3	177592746	177592748	[DC]
chr3	177592783	177592785	[DC]
chr3	177592815	177592817	[DC]
chr3	177592851	177592853	[DC]
chr3	177592961	177592963	[DC]
chr3	177593145	177593147	[DC]
chr4	119031416	119031418	[DC]
chr4	119031438	119031440	[DC]
chr4	119031449	119031451	[DC]
chr4	119031462	119031464	[DC]
chr4	119031469	119031471	[DC]
chr4	119031497	119031499	[DC]
chr4	147842649	147842651	[DC]
chr4	147842743	147842745	[DC]
chr4	147842770	147842772	[DC]
chr4	147842786	147842788	[DC]
chr4	147842811	147842813	[DC]
chr4	168731106	168731108	[DC]
chr4	168731245	168731247	[DC]
chr4	168731461	168731463	[DC]
chr4	168731494	168731496	[DC]
chr5	6772990	6772992	[DC]
chr5	6773012	6773014	[DC]
chr5	6773014	6773016	[DC]
chr5	6773056	6773058	[DC]
chr5	6773103	6773105	[DC]
chr5	135111309	135111311	[DC]
chr5	135111334	135111336	[DC]
chr5	135111350	135111352	[DC]
chr5	135111372	135111374	[DC]
chr6	6850896	6850898	[DC]
chr6	6850958	6850960	[DC]
chr6	6851125	6851127	[DC]
chr6	6851131	6851133	[DC]
chr6	6851133	6851135	[DC]
chr6	6851213	6851215	[DC]
chr6	6851513	6851515	[DC]
chr6	42371122	42371124	[DC]
chr6	42371239	42371241	[DC]
chr6	42371497	42371499	[DC]
chr6	42371504	42371506	[DC]
chr7	75814658	75814660	[DC]
chr7	75814685	75814687	[DC]
